"Municipality","Cases","Population","Year"
"Sundsvall",1,93486,1999
"Sunne",0,13613,1999
"Surahammar",0,10498,1999
"Svalöv",0,12617,1999
"Svedala",0,17935,1999
"Svenljunga",0,10636,1999
"Säffle",0,16796,1999
"Säter",0,11316,1999
"Sävsjö",0,11192,1999
"Söderhamn",0,27842,1999
"Söderköping",0,13968,1999
"Södertälje",10,76624,1999
"Sölvesborg",0,16454,1999
"Tanum",0,12069,1999
"Tibro",0,10641,1999
"Tidaholm",0,12833,1999
"Tierp",0,19803,1999
"Timrå",0,18059,1999
"Tingsryd",0,13484,1999
"Tjörn",0,14734,1999
"Tomelilla",0,12434,1999
"Torsby",0,13943,1999
"Torsås",0,7540,1999
"Tranemo",0,12026,1999
"Tranås",0,17798,1999
"Trelleborg",0,38226,1999
"Trollhättan",0,52879,1999
"Trosa",0,10107,1999
"Tyresö",0,38580,1999
"Täby",0,60300,1999
"Töreboda",0,9626,1999
"Uddevalla",0,48816,1999
"Ulricehamn",0,22286,1999
"Umeå",9,103970,1999
"Upplands-Bro",0,20728,1999
"Upplands Väsby",1,37116,1999
"Uppsala",5,188478,1999
"Uppvidinge",0,9912,1999
"Vadstena",0,7662,1999
"Vaggeryd",0,12475,1999
"Valdemarsvik",0,8383,1999
"Vallentuna",0,24640,1999
"Vansbro",1,7376,1999
"Vara",0,16255,1999
"Varberg",0,52516,1999
"Vaxholm",0,8888,1999
"Vellinge",0,30206,1999
"Vetlanda",0,26735,1999
"Vilhelmina",0,8006,1999
"Vimmerby",0,15788,1999
"Vindeln",0,6142,1999
"Vingåker",0,9335,1999
"Vårgårda",0,10736,1999
"Vänersborg",1,36605,1999
"Vännäs",0,8584,1999
"Värmdö",0,30319,1999
"Värnamo",0,31970,1999
"Västervik",4,37930,1999
"Västerås",1,125433,1999
"Växjö",2,73770,1999
"Ydre",0,4152,1999
"Ystad",0,26185,1999
"Åmål",0,12908,1999
"Ånge",0,11368,1999
"Åre",0,9754,1999
"Årjäng",0,9784,1999
"Åsele",0,3710,1999
"Åstorp",1,12799,1999
"Åtvidaberg",0,12055,1999
"Älmhult",0,15448,1999
"Älvdalen",0,7804,1999
"Älvkarleby",0,8972,1999
"Älvsbyn",0,9060,1999
"Ängelholm",1,37054,1999
"Öckerö",0,11781,1999
"Ödeshög",0,5727,1999
"Örebro",2,123503,1999
"Örkelljunga",1,9423,1999
"Örnsköldsvik",0,56167,1999
"Östersund",1,58387,1999
"Österåker",0,33861,1999
"Östhammar",0,21680,1999
"Östra Göinge",0,14322,1999
"Överkalix",0,4304,1999
"Övertorneå",0,5746,1999
"Ale",1,25421,2000
"Alingsås",0,35153,2000
"Alvesta",0,18916,2000
"Aneby",0,6682,2000
"Arboga",0,13870,2000
"Arjeplog",0,3384,2000
"Arvidsjaur",0,7148,2000
"Arvika",0,26188,2000
"Askersund",0,11530,2000
"Avesta",0,22375,2000
"Bengtsfors",1,10896,2000
"Berg",0,8175,2000
"Bjurholm",0,2695,2000
"Bjuv",1,13705,2000
"Boden",0,28679,2000
"Bollebygd",1,7884,2000
"Bollnäs",0,26735,2000
"Borgholm",0,11288,2000
"Borlänge",1,47206,2000
"Borås",0,96883,2000
"Botkyrka",9,73097,2000
"Boxholm",0,5334,2000
"Bromölla",0,12085,2000
"Bräcke",0,7577,2000
"Burlöv",2,15038,2000
"Båstad",0,14090,2000
"Dals-Ed",0,5047,2000
"Danderyd",1,29570,2000
"Degerfors",0,10544,2000
"Dorotea",0,3353,2000
"Eda",0,8664,2000
"Ekerö",1,22266,2000
"Eksjö",0,16868,2000
"Emmaboda",0,9772,2000
"Enköping",0,36606,2000
"Eskilstuna",3,88408,2000
"Eslöv",0,28487,2000
"Essunga",0,5835,2000
"Fagersta",0,12381,2000
"Falkenberg",0,38817,2000
"Falköping",1,31007,2000
"Falun",0,54426,2000
"Filipstad",0,11598,2000
"Finspång",0,21477,2000
"Flen",1,16565,2000
"Forshaga",0,11589,2000
"Färgelanda",0,7020,2000
"Gagnef",0,10075,2000
"Gislaved",0,30407,2000
"Gnesta",0,9768,2000
"Gnosjö",0,10280,2000
"Gotland",0,57313,2000
"Grums",0,9551,2000
"Grästorp",0,5924,2000
"Gullspång",0,5911,2000
"Gällivare",0,20037,2000
"Gävle",3,90742,2000
"Göteborg",12,466990,2000
"Götene",0,13016,2000
"Habo",0,9578,2000
"Hagfors",1,14059,2000
"Hallsberg",0,15685,2000
"Hallstahammar",0,15064,2000
"Halmstad",6,85200,2000
"Hammarö",0,14162,2000
"Haninge",3,69644,2000
"Haparanda",0,10412,2000
"Heby",0,13653,2000
"Hedemora",1,15857,2000
"Helsingborg",9,117737,2000
"Herrljunga",0,9447,2000
"Hjo",0,8787,2000
"Hofors",0,10624,2000
"Huddinge",5,84535,2000
"Hudiksvall",0,37454,2000
"Hultsfred",0,15163,2000
"Hylte",0,10479,2000
"Håbo",0,17468,2000
