"Municipality","Cases","Population","Year"
"Lilla Edet",2,12902,2004
"Lindesberg",1,23300,2004
"Linköping",2,136912,2004
"Ljungby",0,27004,2004
"Ljusdal",0,19592,2004
"Ljusnarsberg",0,5389,2004
"Lomma",0,18595,2004
"Ludvika",0,25782,2004
"Luleå",5,72565,2004
"Lund",2,101423,2004
"Lycksele",0,12785,2004
"Lysekil",0,14767,2004
"Malmö",13,269142,2004
"Malung-Sälen",1,10557,2004
"Malå",0,3464,2004
"Mariestad",0,23897,2004
"Mark",0,33356,2004
"Markaryd",0,9636,2004
"Mellerud",3,9728,2004
"Mjölby",2,25326,2004
"Mora",0,20083,2004
"Motala",1,42062,2004
"Mullsjö",0,7101,2004
"Munkedal",0,10318,2004
"Munkfors",0,4039,2004
"Mölndal",1,57752,2004
"Mönsterås",1,13226,2004
"Mörbylånga",0,13403,2004
"Nacka",0,78715,2004
"Nora",0,10523,2004
"Norberg",0,5949,2004
"Nordanstig",0,9872,2004
"Nordmaling",0,7511,2004
"Norrköping",3,124410,2004
"Norrtälje",2,54366,2004
"Norsjö",0,4483,2004
"Nybro",0,19882,2004
"Nykvarn",0,8328,2004
"Nyköping",2,49575,2004
"Nynäshamn",0,24670,2004
"Nässjö",0,29377,2004
"Ockelbo",0,6047,2004
"Olofström",0,13524,2004
"Orsa",0,7031,2004
"Orust",0,15160,2004
"Osby",0,12625,2004
"Oskarshamn",0,26300,2004
"Ovanåker",0,11985,2004
"Oxelösund",0,11273,2004
"Pajala",0,6925,2004
"Partille",0,33281,2004
"Perstorp",0,6893,2004
"Piteå",0,40830,2004
"Ragunda",1,5894,2004
"Robertsfors",0,7106,2004
"Ronneby",0,28283,2004
"Rättvik",0,10864,2004
"Sala",1,21554,2004
"Salem",0,14127,2004
"Sandviken",1,36835,2004
"Sigtuna",2,36322,2004
"Simrishamn",0,19470,2004
"Sjöbo",0,17404,2004
"Skara",0,18507,2004
"Skellefteå",1,71786,2004
"Skinnskatteberg",0,4829,2004
"Skurup",0,14243,2004
"Skövde",1,49856,2004
"Smedjebacken",0,10923,2004
"Sollefteå",0,21207,2004
"Sollentuna",1,58897,2004
"Solna",1,59098,2004
"Sorsele",0,2957,2004
"Sotenäs",0,9336,2004
"Staffanstorp",0,20394,2004
"Stenungsund",0,22742,2004
"Stockholm",10,765044,2004
"Storfors",0,4569,2004
"Storuman",0,6554,2004
"Strängnäs",1,30522,2004
"Strömstad",2,11373,2004
"Strömsund",0,13112,2004
"Sundbyberg",0,33816,2004
"Sundsvall",0,93707,2004
"Sunne",0,13604,2004
"Surahammar",0,10249,2004
"Svalöv",0,12973,2004
"Svedala",1,18541,2004
"Svenljunga",0,10468,2004
"Säffle",0,16077,2004
"Säter",0,10980,2004
"Sävsjö",0,10973,2004
"Söderhamn",0,26731,2004
"Söderköping",0,14095,2004
"Södertälje",3,80405,2004
"Sölvesborg",0,16544,2004
"Tanum",0,12317,2004
"Tibro",0,10572,2004
"Tidaholm",1,12543,2004
"Tierp",1,20061,2004
"Timrå",0,17859,2004
"Tingsryd",0,12892,2004
"Tjörn",0,15019,2004
"Tomelilla",0,12561,2004
"Torsby",1,13086,2004
"Torsås",0,7263,2004
"Tranemo",0,11894,2004
"Tranås",0,17751,2004
"Trelleborg",1,39477,2004
"Trollhättan",1,53154,2004
"Trosa",0,10627,2004
"Tyresö",0,40605,2004
"Täby",0,60422,2004
"Töreboda",0,9445,2004
"Uddevalla",0,50068,2004
"Ulricehamn",0,22342,2004
"Umeå",4,109390,2004
"Upplands-Bro",1,21348,2004
"Upplands Väsby",1,37517,2004
"Uppsala",7,182076,2004
"Uppvidinge",0,9514,2004
"Vadstena",0,7562,2004
"Vaggeryd",0,12660,2004
"Valdemarsvik",0,8159,2004
"Vallentuna",0,26889,2004
"Vansbro",0,7122,2004
"Vara",0,16026,2004
"Varberg",0,54338,2004
"Vaxholm",0,9904,2004
"Vellinge",0,31596,2004
"Vetlanda",0,26531,2004
"Vilhelmina",0,7422,2004
"Vimmerby",0,15596,2004
"Vindeln",0,5773,2004
"Vingåker",0,9178,2004
"Vårgårda",0,10680,2004
"Vänersborg",0,37105,2004
"Vännäs",0,8525,2004
"Värmdö",0,34029,2004
"Värnamo",0,32464,2004
"Västervik",1,36566,2004
"Västerås",2,131014,2004
"Växjö",3,76755,2004
"Ydre",0,3894,2004
"Ystad",0,26898,2004
"Åmål",0,12823,2004
"Ånge",0,10821,2004
"Åre",0,9821,2004
"Årjäng",0,9799,2004
"Åsele",0,3375,2004
"Åstorp",0,13389,2004
"Åtvidaberg",0,11817,2004
"Älmhult",0,15421,2004
"Älvdalen",0,7515,2004
"Älvkarleby",1,9041,2004
"Älvsbyn",0,8775,2004
"Ängelholm",0,38140,2004
"Öckerö",0,12147,2004
"Ödeshög",0,5520,2004
"Örebro",1,126982,2004
"Örkelljunga",0,9500,2004
"Örnsköldsvik",0,54945,2004
"Östersund",1,58459,2004
"Österåker",0,36867,2004
"Östhammar",0,21738,2004
"Östra Göinge",0,13978,2004
"Överkalix",0,3933,2004
"Övertorneå",0,5244,2004
"Ale",1,26405,2005
"Alingsås",2,36010,2005
"Alvesta",0,18684,2005
"Aneby",0,6576,2005
"Arboga",0,13380,2005
"Arjeplog",0,3159,2005
"Arvidsjaur",0,6814,2005
"Arvika",0,26265,2005
"Askersund",0,11461,2005
"Avesta",0,21954,2005
"Bengtsfors",0,10225,2005
"Berg",0,7696,2005
"Bjurholm",0,2553,2005
"Bjuv",0,14007,2005
"Boden",0,28176,2005
"Bollebygd",0,8086,2005
"Bollnäs",0,26237,2005
"Borgholm",0,11067,2005
"Borlänge",1,46987,2005
"Borås",4,99325,2005
"Botkyrka",2,76592,2005
"Boxholm",0,5242,2005
"Bromölla",0,12098,2005
"Bräcke",0,7192,2005
"Burlöv",2,15320,2005
"Båstad",0,14044,2005
"Dals-Ed",0,4891,2005
"Danderyd",0,30226,2005
"Degerfors",1,10093,2005
"Dorotea",0,3082,2005
"Eda",0,8601,2005
"Ekerö",0,24010,2005
"Eksjö",0,16575,2005
"Emmaboda",0,9543,2005
"Enköping",0,38422,2005
"Eskilstuna",7,91635,2005
"Eslöv",0,30087,2005
"Essunga",0,5717,2005
"Fagersta",1,12270,2005
"Falkenberg",0,39605,2005
"Falköping",1,31185,2005
"Falun",0,55274,2005
"Filipstad",0,11017,2005
"Finspång",0,20888,2005
"Flen",0,16412,2005
"Forshaga",0,11515,2005
"Färgelanda",0,6824,2005
"Gagnef",0,10131,2005
"Gislaved",1,29489,2005
"Gnesta",0,9958,2005
"Gnosjö",0,9753,2005
"Gotland",2,57488,2005
"Grums",0,9408,2005
"Grästorp",0,5762,2005
"Gullspång",0,5595,2005
"Gällivare",0,19077,2005
"Gävle",2,92205,2005
"Göteborg",39,484942,2005
"Götene",0,12879,2005
"Habo",0,9842,2005
"Hagfors",0,13337,2005
"Hallsberg",1,15315,2005
"Hallstahammar",0,14955,2005
"Halmstad",1,88224,2005
"Hammarö",0,14374,2005
"Haninge",2,71837,2005
"Haparanda",0,10184,2005
"Heby",0,13634,2005
"Hedemora",0,15494,2005
"Helsingborg",6,122062,2005
"Herrljunga",1,9305,2005
"Hjo",0,8849,2005
"Hofors",0,10197,2005
"Huddinge",0,88750,2005
"Hudiksvall",0,37004,2005
"Hultsfred",0,14456,2005
"Hylte",0,10368,2005
"Håbo",0,18569,2005
"Hällefors",0,7627,2005
"Härjedalen",0,10889,2005
"Härnösand",2,25227,2005
"Härryda",0,32049,2005
"Hässleholm",0,49148,2005
"Höganäs",0,23482,2005
"Högsby",0,6066,2005
"Hörby",0,14274,2005
"Höör",0,14604,2005
"Jokkmokk",0,5534,2005
"Järfälla",8,61743,2005
"Jönköping",0,120965,2005
"Kalix",0,17483,2005
"Kalmar",3,60924,2005
"Karlsborg",0,6898,2005
"Karlshamn",0,31006,2005
"Karlskoga",0,30185,2005
"Karlskrona",0,61383,2005
"Karlstad",1,82096,2005
"Katrineholm",0,32185,2005
"Kil",0,11813,2005
"Kinda",0,9946,2005
"Kiruna",0,23135,2005
"Klippan",0,16048,2005
"Knivsta",0,13324,2005
"Kramfors",0,20107,2005
"Kristianstad",2,75915,2005
"Kristinehamn",1,23899,2005
"Krokom",0,14130,2005
"Kumla",1,19473,2005
"Kungsbacka",1,69817,2005
"Kungsör",0,8303,2005
"Kungälv",2,38703,2005
"Kävlinge",0,26704,2005
"Köping",3,24646,2005
"Laholm",0,23037,2005
"Landskrona",0,39346,2005
"Laxå",0,6136,2005
"Lekeberg",0,7081,2005
"Leksand",1,15440,2005
"Lerum",2,36506,2005
"Lessebo",1,8127,2005
"Lidingö",0,41892,2005
"Lidköping",0,37380,2005
"Lilla Edet",0,12889,2005
"Lindesberg",1,23228,2005
"Linköping",4,137636,2005
"Ljungby",0,27093,2005
"Ljusdal",0,19384,2005
"Ljusnarsberg",0,5317,2005
"Lomma",0,18854,2005
"Ludvika",1,25537,2005
"Luleå",5,72751,2005
"Lund",4,102257,2005
"Lycksele",0,12701,2005
"Lysekil",0,14657,2005
"Malmö",15,271271,2005
"Malung-Sälen",0,10513,2005
"Malå",0,3421,2005
"Mariestad",0,23895,2005
"Mark",0,33494,2005
"Markaryd",0,9571,2005
"Mellerud",0,9638,2005
"Mjölby",0,25258,2005
"Mora",0,20212,2005
"Motala",3,41912,2005
"Mullsjö",0,7087,2005
"Munkedal",0,10284,2005
"Munkfors",0,3995,2005
"Mölndal",2,58234,2005
"Mönsterås",1,13103,2005
"Mörbylånga",0,13405,2005
"Nacka",3,80247,2005
"Nora",0,10472,2005
"Norberg",0,5866,2005
"Nordanstig",0,9847,2005
"Nordmaling",0,7470,2005
"Norrköping",2,124642,2005
"Norrtälje",1,54596,2005
"Norsjö",0,4466,2005
"Nybro",0,19775,2005
"Nykvarn",0,8354,2005
"Nyköping",0,49816,2005
"Nynäshamn",0,24648,2005
"Nässjö",0,29314,2005
"Ockelbo",0,6051,2005
"Olofström",0,13391,2005
"Orsa",0,7020,2005
"Orust",0,15188,2005
"Osby",0,12600,2005
"Oskarshamn",0,26247,2005
"Ovanåker",0,11873,2005
"Oxelösund",0,11134,2005
"Pajala",0,6798,2005
"Partille",0,33543,2005
"Perstorp",1,6886,2005
"Piteå",3,40873,2005
"Ragunda",0,5796,2005
"Robertsfors",0,7066,2005
"Ronneby",0,28358,2005
"Rättvik",0,10886,2005
"Sala",0,21446,2005
"Salem",0,14334,2005
"Sandviken",2,36690,2005
"Sigtuna",0,36711,2005
"Simrishamn",1,19425,2005
"Sjöbo",0,17501,2005
"Skara",0,18578,2005
"Skellefteå",1,71910,2005
"Skinnskatteberg",0,4761,2005
"Skurup",0,14415,2005
"Skövde",0,49980,2005
"Smedjebacken",0,10812,2005
"Sollefteå",0,20976,2005
"Sollentuna",0,59355,2005
"Solna",0,60575,2005
"Sorsele",0,2905,2005
"Sotenäs",0,9311,2005
"Staffanstorp",0,20602,2005
"Stenungsund",0,22947,2005
"Stockholm",9,771038,2005
"Storfors",0,4542,2005
"Storuman",0,6507,2005
"Strängnäs",0,30655,2005
"Strömstad",0,11507,2005
"Strömsund",0,12931,2005
"Sundbyberg",0,34016,2005
"Sundsvall",2,94044,2005
"Sunne",0,13586,2005
"Surahammar",0,10196,2005
"Svalöv",0,13012,2005
"Svedala",0,18716,2005
"Svenljunga",0,10430,2005
"Säffle",1,16080,2005
"Säter",0,10989,2005
"Sävsjö",1,10989,2005
"Söderhamn",0,26506,2005
"Söderköping",0,14025,2005
"Södertälje",3,80553,2005
"Sölvesborg",0,16558,2005
"Tanum",0,12252,2005
"Tibro",0,10581,2005
"Tidaholm",0,12535,2005
"Tierp",0,20056,2005
"Timrå",1,17747,2005
"Tingsryd",0,12793,2005
"Tjörn",0,15022,2005
"Tomelilla",0,12682,2005
"Torsby",0,12960,2005
"Torsås",0,7240,2005
"Tranemo",0,11804,2005
"Tranås",0,17765,2005
"Trelleborg",2,39830,2005
"Trollhättan",1,53302,2005
"Trosa",0,10831,2005
"Tyresö",1,41134,2005
"Täby",0,60594,2005
"Töreboda",0,9470,2005
"Uddevalla",0,50314,2005
"Ulricehamn",1,22381,2005
"Umeå",2,110758,2005
"Upplands-Bro",2,21327,2005
"Upplands Väsby",1,37624,2005
"Uppsala",12,183308,2005
"Uppvidinge",1,9466,2005
"Vadstena",0,7527,2005
"Vaggeryd",0,12665,2005
"Valdemarsvik",0,8122,2005
"Vallentuna",1,27397,2005
"Vansbro",0,7061,2005
"Vara",1,16008,2005
"Varberg",0,54817,2005
"Vaxholm",0,10123,2005
"Vellinge",0,31722,2005
"Vetlanda",0,26459,2005
"Vilhelmina",0,7327,2005
"Vimmerby",0,15613,2005
"Vindeln",0,5752,2005
"Vingåker",0,9269,2005
"Vårgårda",1,10756,2005
"Vänersborg",0,36951,2005
"Vännäs",0,8412,2005
"Värmdö",0,34933,2005
"Värnamo",1,32700,2005
"Västervik",3,36505,2005
"Västerås",0,131934,2005
"Växjö",1,77363,2005
"Ydre",0,3866,2005
"Ystad",0,27120,2005
"Åmål",0,12737,2005
"Ånge",0,10692,2005
"Åre",0,9966,2005
"Årjäng",0,9800,2005
"Åsele",0,3322,2005
"Åstorp",0,13541,2005
"Åtvidaberg",0,11723,2005
"Älmhult",0,15346,2005
"Älvdalen",0,7445,2005
"Älvkarleby",0,9080,2005
"Älvsbyn",0,8655,2005
"Ängelholm",1,38347,2005
"Öckerö",0,12231,2005
"Ödeshög",1,5516,2005
"Örebro",0,127733,2005
"Örkelljunga",0,9553,2005
"Örnsköldsvik",0,54943,2005
"Östersund",1,58428,2005
"Österåker",3,37336,2005
"Östhammar",0,21608,2005
"Östra Göinge",0,13991,2005
"Överkalix",0,3872,2005
"Övertorneå",0,5229,2005
"Ale",2,26800,2006
"Alingsås",1,36481,2006
"Alvesta",0,18741,2006
"Aneby",0,6551,2006
"Arboga",0,13391,2006
"Arjeplog",0,3151,2006
"Arvidsjaur",0,6791,2006
"Arvika",0,26131,2006
"Askersund",0,11470,2006
"Avesta",1,21963,2006
"Bengtsfors",0,10080,2006
"Berg",0,7592,2006
"Bjurholm",0,2541,2006
"Bjuv",0,14199,2006
"Boden",0,28002,2006
"Bollebygd",0,8179,2006
"Bollnäs",0,26278,2006
"Borgholm",0,10983,2006
"Borlänge",1,47399,2006
"Borås",10,100221,2006
"Botkyrka",1,77553,2006
"Boxholm",0,5226,2006
"Bromölla",0,12145,2006
"Bräcke",1,7202,2006
"Burlöv",0,15662,2006
"Båstad",0,14170,2006
"Dals-Ed",0,4900,2006
"Danderyd",0,30492,2006
"Degerfors",0,10014,2006
"Dorotea",0,3069,2006
"Eda",0,8670,2006
"Ekerö",0,24301,2006
"Eksjö",1,16516,2006
"Emmaboda",0,9436,2006
"Enköping",1,38486,2006
"Eskilstuna",8,92250,2006
"Eslöv",1,30437,2006
"Essunga",0,5651,2006
"Fagersta",0,12202,2006
"Falkenberg",0,39874,2006
"Falköping",1,31240,2006
"Falun",0,55267,2006
"Filipstad",0,10952,2006
"Finspång",0,20812,2006
"Flen",0,16222,2006
"Forshaga",0,11466,2006
"Färgelanda",0,6779,2006
"Gagnef",0,10080,2006
"Gislaved",2,29327,2006
"Gnesta",0,9981,2006
"Gnosjö",0,9598,2006
"Gotland",1,57297,2006
"Grums",0,9332,2006
"Grästorp",0,5809,2006
"Gullspång",0,5506,2006
"Gällivare",0,18959,2006
"Gävle",4,92416,2006
"Göteborg",48,489757,2006
"Götene",0,12959,2006
"Habo",0,10122,2006
"Hagfors",0,13127,2006
"Hallsberg",0,15287,2006
"Hallstahammar",0,15042,2006
"Halmstad",0,88958,2006
"Hammarö",0,14489,2006
"Haninge",2,72956,2006
"Haparanda",0,10214,2006
"Heby",0,13530,2006
"Hedemora",1,15380,2006
"Helsingborg",16,123389,2006
"Herrljunga",0,9243,2006
"Hjo",0,8853,2006
"Hofors",0,10091,2006
"Huddinge",0,90182,2006
"Hudiksvall",0,36956,2006
"Hultsfred",0,14306,2006
"Hylte",0,10371,2006
"Håbo",1,18637,2006
"Hällefors",0,7539,2006
"Härjedalen",0,10764,2006
"Härnösand",2,25080,2006
"Härryda",0,32395,2006
"Hässleholm",1,49381,2006
"Höganäs",0,23857,2006
"Högsby",0,6033,2006
"Hörby",0,14540,2006
"Höör",0,14777,2006
"Jokkmokk",0,5491,2006
"Järfälla",6,62342,2006
"Jönköping",5,122194,2006
"Kalix",0,17396,2006
"Kalmar",0,61321,2006
"Karlsborg",0,6880,2006
"Karlshamn",0,31179,2006
"Karlskoga",0,30159,2006
"Karlskrona",1,61844,2006
"Karlstad",1,82878,2006
"Katrineholm",0,32029,2006
"Kil",1,11803,2006
"Kinda",0,9918,2006
"Kiruna",0,23258,2006
"Klippan",1,16106,2006
"Knivsta",0,13597,2006
"Kramfors",0,19816,2006
"Kristianstad",1,76540,2006
"Kristinehamn",0,23848,2006
"Krokom",0,14270,2006
"Kumla",0,19643,2006
"Kungsbacka",2,71044,2006
"Kungsör",0,8211,2006
"Kungälv",0,38899,2006
"Kävlinge",0,27369,2006
"Köping",2,24659,2006
"Laholm",0,23153,2006
"Landskrona",2,40018,2006
"Laxå",0,6046,2006
"Lekeberg",0,7096,2006
"Leksand",0,15450,2006
"Lerum",2,37092,2006
"Lessebo",0,8099,2006
"Lidingö",0,42321,2006
"Lidköping",0,37526,2006
"Lilla Edet",0,12836,2006
"Lindesberg",0,23074,2006
"Linköping",4,138580,2006
"Ljungby",0,27121,2006
"Ljusdal",0,19243,2006
"Ljusnarsberg",0,5243,2006
"Lomma",0,19434,2006
"Ludvika",0,25477,2006
"Luleå",5,73313,2006
"Lund",3,103286,2006
"Lycksele",0,12612,2006
"Lysekil",0,14631,2006
"Malmö",16,276244,2006
"Malung-Sälen",0,10518,2006
"Malå",0,3348,2006
"Mariestad",0,23933,2006
"Mark",1,33594,2006
"Markaryd",0,9613,2006
"Mellerud",0,9623,2006
"Mjölby",1,25348,2006
"Mora",0,20159,2006
"Motala",0,41959,2006
"Mullsjö",0,7075,2006
"Munkedal",0,10246,2006
"Munkfors",0,3936,2006
"Mölndal",2,58938,2006
"Mönsterås",0,13111,2006
"Mörbylånga",0,13520,2006
"Nacka",2,82421,2006
"Nora",1,10482,2006
"Norberg",0,5843,2006
"Nordanstig",0,9810,2006
"Nordmaling",0,7426,2006
"Norrköping",1,125463,2006
"Norrtälje",0,54836,2006
"Norsjö",0,4437,2006
"Nybro",0,19680,2006
"Nykvarn",0,8609,2006
"Nyköping",0,50191,2006
"Nynäshamn",0,24992,2006
"Nässjö",1,29369,2006
"Ockelbo",0,6038,2006
"Olofström",0,13355,2006
"Orsa",0,7026,2006
"Orust",0,15185,2006
"Osby",0,12634,2006
"Oskarshamn",0,26244,2006
"Ovanåker",0,11816,2006
"Oxelösund",0,11111,2006
"Pajala",1,6688,2006
"Partille",3,33614,2006
"Perstorp",1,6898,2006
"Piteå",0,40943,2006
"Ragunda",0,5806,2006
"Robertsfors",1,6996,2006
"Ronneby",0,28443,2006
"Rättvik",0,10884,2006
"Sala",0,21360,2006
"Salem",1,14715,2006
"Sandviken",1,36748,2006
"Sigtuna",2,36976,2006
"Simrishamn",0,19418,2006
"Sjöbo",3,17721,2006
"Skara",0,18595,2006
"Skellefteå",1,71966,2006
"Skinnskatteberg",0,4752,2006
"Skurup",0,14703,2006
"Skövde",0,50153,2006
"Smedjebacken",1,10715,2006
"Sollefteå",1,20849,2006
"Sollentuna",2,60528,2006
"Solna",0,61717,2006
"Sorsele",0,2867,2006
"Sotenäs",0,9283,2006
"Staffanstorp",0,20840,2006
"Stenungsund",0,23190,2006
"Stockholm",26,782885,2006
"Storfors",0,4526,2006
"Storuman",0,6432,2006
"Strängnäs",1,31152,2006
"Strömstad",0,11569,2006
"Strömsund",0,12782,2006
"Sundbyberg",0,34529,2006
"Sundsvall",0,94516,2006
"Sunne",1,13591,2006
"Surahammar",0,10109,2006
"Svalöv",0,13055,2006
"Svedala",1,18988,2006
"Svenljunga",0,10405,2006
"Säffle",1,15973,2006
"Säter",1,10991,2006
"Sävsjö",0,10985,2006
"Söderhamn",0,26257,2006
"Söderköping",1,14051,2006
"Södertälje",2,81791,2006
"Sölvesborg",0,16615,2006
"Tanum",0,12253,2006
"Tibro",0,10671,2006
"Tidaholm",0,12653,2006
"Tierp",1,19943,2006
"Timrå",0,17870,2006
"Tingsryd",0,12712,2006
"Tjörn",0,14954,2006
"Tomelilla",0,12719,2006
"Torsby",0,12946,2006
"Torsås",0,7154,2006
"Tranemo",0,11742,2006
"Tranås",0,17765,2006
"Trelleborg",0,40320,2006
"Trollhättan",1,53830,2006
"Trosa",0,10951,2006
"Tyresö",0,41476,2006
"Täby",0,61006,2006
"Töreboda",0,9368,2006
"Uddevalla",0,50507,2006
"Ulricehamn",1,22436,2006
"Umeå",2,111235,2006
"Upplands-Bro",1,21638,2006
"Upplands Väsby",0,37848,2006
"Uppsala",4,185187,2006
"Uppvidinge",0,9508,2006
"Vadstena",0,7541,2006
"Vaggeryd",0,12816,2006
"Valdemarsvik",0,8038,2006
"Vallentuna",3,27868,2006
"Vansbro",0,6983,2006
"Vara",0,15961,2006
"Varberg",0,55459,2006
"Vaxholm",0,10440,2006
"Vellinge",0,32270,2006
"Vetlanda",0,26380,2006
"Vilhelmina",0,7280,2006
"Vimmerby",0,15588,2006
"Vindeln",0,5665,2006
"Vingåker",0,9212,2006
"Vårgårda",0,10896,2006
"Vänersborg",1,37023,2006
"Vännäs",1,8436,2006
"Värmdö",0,35803,2006
"Värnamo",1,32841,2006
"Västervik",1,36400,2006
"Västerås",5,132920,2006
"Växjö",3,78473,2006
"Ydre",0,3822,2006
"Ystad",1,27398,2006
"Åmål",0,12716,2006
"Ånge",0,10604,2006
"Åre",0,10021,2006
"Årjäng",0,9821,2006
"Åsele",0,3271,2006
"Åstorp",1,13885,2006
"Åtvidaberg",0,11775,2006
"Älmhult",1,15368,2006
"Älvdalen",1,7419,2006
"Älvkarleby",0,9110,2006
"Älvsbyn",0,8653,2006
"Ängelholm",0,38682,2006
"Öckerö",0,12229,2006
"Ödeshög",0,5433,2006
"Örebro",5,128977,2006
"Örkelljunga",0,9529,2006
"Örnsköldsvik",0,55243,2006
"Östersund",1,58583,2006
"Österåker",2,37879,2006
"Östhammar",0,21435,2006
"Östra Göinge",0,13886,2006
"Överkalix",0,3859,2006
"Övertorneå",0,5168,2006
"Ale",1,27092,2007
"Alingsås",1,36739,2007
"Alvesta",0,18776,2007
"Aneby",0,6506,2007
"Arboga",0,13369,2007
"Arjeplog",0,3089,2007
"Arvidsjaur",0,6751,2007
"Arvika",0,26250,2007
"Askersund",0,11394,2007
"Avesta",0,21886,2007
"Bengtsfors",0,9957,2007
"Berg",0,7586,2007
"Bjurholm",0,2549,2007
"Bjuv",0,14470,2007
"Boden",1,27838,2007
"Bollebygd",0,8193,2007
"Bollnäs",0,26217,2007
"Borgholm",0,10933,2007
"Borlänge",0,47756,2007
"Borås",3,100985,2007
"Botkyrka",0,79031,2007
"Boxholm",0,5223,2007
"Bromölla",0,12181,2007
"Bräcke",0,7109,2007
"Burlöv",0,15952,2007
"Båstad",0,14242,2007
"Dals-Ed",0,4835,2007
"Danderyd",0,30789,2007
"Degerfors",0,9903,2007
"Dorotea",0,2993,2007
"Eda",0,8649,2007
"Ekerö",0,24687,2007
"Eksjö",1,16435,2007
"Emmaboda",0,9383,2007
"Enköping",1,38768,2007
"Eskilstuna",5,93343,2007
"Eslöv",0,30775,2007
"Essunga",0,5638,2007
"Fagersta",0,12183,2007
"Falkenberg",1,40164,2007
"Falköping",0,31311,2007
"Falun",0,55220,2007
"Filipstad",0,10782,2007
"Finspång",1,20703,2007
"Flen",0,16191,2007
"Forshaga",0,11444,2007
"Färgelanda",0,6770,2007
"Gagnef",0,10111,2007
"Gislaved",0,29330,2007
"Gnesta",0,10031,2007
"Gnosjö",0,9657,2007
"Gotland",0,57122,2007
"Grums",0,9302,2007
"Grästorp",0,5831,2007
"Gullspång",0,5425,2007
"Gällivare",1,18860,2007
"Gävle",1,92681,2007
"Göteborg",28,493502,2007
"Götene",0,13056,2007
"Habo",0,10375,2007
"Hagfors",0,12993,2007
"Hallsberg",1,15268,2007
"Hallstahammar",0,15040,2007
"Halmstad",0,89727,2007
"Hammarö",0,14547,2007
"Haninge",1,73698,2007
"Haparanda",0,10192,2007
"Heby",0,13492,2007
"Hedemora",0,15301,2007
"Helsingborg",12,124986,2007
"Herrljunga",2,9304,2007
"Hjo",0,8809,2007
"Hofors",0,10039,2007
"Huddinge",0,91827,2007
"Hudiksvall",0,36927,2007
"Hultsfred",0,14196,2007
"Hylte",0,10257,2007
"Håbo",0,18931,2007
"Hällefors",0,7475,2007
"Härjedalen",0,10699,2007
"Härnösand",2,24922,2007
"Härryda",0,32969,2007
"Hässleholm",1,49780,2007
"Höganäs",1,24065,2007
"Högsby",0,5931,2007
"Hörby",0,14584,2007
"Höör",0,14924,2007
"Jokkmokk",0,5406,2007
"Järfälla",0,63427,2007
"Jönköping",8,123709,2007
"Kalix",1,17283,2007
"Kalmar",1,61533,2007
"Karlsborg",0,6850,2007
"Karlshamn",0,31052,2007
"Karlskoga",0,29988,2007
"Karlskrona",1,62338,2007
"Karlstad",0,83641,2007
"Katrineholm",3,32162,2007
"Kil",0,11748,2007
"Kinda",0,9947,2007
"Kiruna",0,23122,2007
"Klippan",0,16254,2007
"Knivsta",0,13954,2007
"Kramfors",0,19663,2007
"Kristianstad",0,77245,2007
"Kristinehamn",0,23906,2007
"Krokom",0,14304,2007
"Kumla",1,19852,2007
"Kungsbacka",2,71942,2007
"Kungsör",0,8219,2007
"Kungälv",6,39649,2007
"Kävlinge",1,27746,2007
"Köping",2,24646,2007
"Laholm",0,23189,2007
"Landskrona",0,40419,2007
"Laxå",0,5922,2007
"Lekeberg",0,7097,2007
"Leksand",0,15338,2007
"Lerum",4,37711,2007
"Lessebo",0,8070,2007
"Lidingö",1,42710,2007
"Lidköping",1,37773,2007
"Lilla Edet",0,12835,2007
"Lindesberg",1,23104,2007
"Linköping",4,140367,2007
"Ljungby",0,27276,2007
"Ljusdal",0,19175,2007
"Ljusnarsberg",0,5188,2007
"Lomma",0,20023,2007
"Ludvika",0,25425,2007
"Luleå",2,73146,2007
"Lund",4,105286,2007
"Lycksele",0,12503,2007
"Lysekil",1,14633,2007
"Malmö",15,280801,2007
"Malung-Sälen",0,10428,2007
"Malå",0,3338,2007
"Mariestad",0,23871,2007
"Mark",0,33729,2007
"Markaryd",0,9641,2007
"Mellerud",0,9553,2007
"Mjölby",0,25535,2007
"Mora",0,20143,2007
"Motala",0,42060,2007
"Mullsjö",0,7046,2007
"Munkedal",0,10256,2007
"Munkfors",0,3880,2007
"Mölndal",0,59430,2007
"Mönsterås",0,13114,2007
"Mörbylånga",0,13608,2007
"Nacka",1,84303,2007
"Nora",0,10447,2007
"Norberg",0,5788,2007
"Nordanstig",0,9813,2007
"Nordmaling",0,7390,2007
"Norrköping",0,126680,2007
"Norrtälje",2,55225,2007
"Norsjö",0,4380,2007
"Nybro",0,19643,2007
"Nykvarn",0,8926,2007
"Nyköping",0,50760,2007
"Nynäshamn",0,25353,2007
"Nässjö",0,29461,2007
"Ockelbo",0,5985,2007
"Olofström",0,13198,2007
"Orsa",0,7091,2007
"Orust",0,15373,2007
"Osby",0,12623,2007
"Oskarshamn",0,26294,2007
"Ovanåker",0,11795,2007
"Oxelösund",0,11148,2007
"Pajala",0,6522,2007
"Partille",3,33699,2007
"Perstorp",0,6930,2007
"Piteå",0,40961,2007
"Ragunda",0,5747,2007
"Robertsfors",0,6909,2007
"Ronneby",0,28491,2007
"Rättvik",0,10883,2007
"Sala",1,21412,2007
"Salem",0,15065,2007
"Sandviken",0,36804,2007
