Cases1998	CasesPerThousand1998	Population1998	Cases1999	CasesPerThousand1999	Population1999	Cases2000	CasesPerThousand2000	Population2000	Cases2001	CasesPerThousand2001	Population2001	Cases2002	CasesPerThousand2002	Population2002	Cases2003	CasesPerThousand2003	Population2003	Cases2004	CasesPerThousand2004	Population2004	Cases2005	CasesPerThousand2005	Population2005	Cases2006	CasesPerThousand2006	Population2006	Cases2007	CasesPerThousand2007	Population2007	Cases2008	CasesPerThousand2008	Population2008	Cases2009	CasesPerThousand2009	Population2009	Cases2010	CasesPerThousand2010	Population2010	Cases2011	CasesPerThousand2011	Population2011	Cases2012	CasesPerThousand2012	Population2012	Cases2013	CasesPerThousand2013	Population2013	Cases2014	CasesPerThousand2014	Population2014
Orsa	0	0	6812	0	0	6849	0	0	6835	0	0	6867	0	0	6922	0	0	6934	0	0	6990	0	0	7091	0	0	7026	0	0	7020	0	0	7031	0	0	7053	0	0	7015	0	0	6979	0	0	6986	0	0	7040	0	0	7150
Orust	0	0	15054	0	0	15036	0	0	15083	0	0	15129	0	0	15221	0	0	15308	0	0	15327	0	0	15373	0	0	15185	0	0	15188	0	0	15160	0	0	15160	0	0	15113	0	0	15087	0	0	15023	0	0	15056	0	0	15133
Osby	0	0	12828	0	0	12713	0	0	12637	1	0.0787463579809434	12699	0	0	12724	0	0	12656	0	0	12648	0	0	12623	0	0	12634	0	0	12600	0	0	12625	0	0	12707	0	0	12637	0	0	12735	1	0.0784806152880239	12742	0	0	12925	0	0	13100
Oskarshamn	0	0	26301	0	0	26212	0	0	26144	0	0	26166	0	0	26163	1	0.0381213784690454	26232	0	0	26309	0	0	26294	0	0	26244	0	0	26247	0	0	26300	1	0.0380908848512551	26253	0	0	26161	0	0	26213	0	0	26349	0	0	26504	0	0	26769
Ovanåker	0	0	11432	0	0	11354	0	0	11392	1	0.0876885303402315	11404	0	0	11440	0	0	11530	0	0	11647	0	0	11795	0	0	11816	0	0	11873	0	0	11985	0	0	12051	0	0	12193	0	0	12333	0	0	12491	0	0	12623	0	0	12801
Oxelösund	0	0	11551	0	0	11403	0	0	11236	1	0.0888888888888889	11250	0	0	11193	0	0	11126	0	0	11170	0	0	11148	0	0	11111	0	0	11134	0	0	11273	0	0	11299	0	0	11183	0	0	10983	0	0	10866	0	0	10973	0	0	11188
Pajala	0	0	6303	0	0	6299	0	0	6279	0	0	6270	0	0	6282	0	0	6309	0	0	6429	0	0	6522	1	0.149521531100478	6688	0	0	6798	0	0	6925	0	0	7053	0	0	7206	0	0	7319	0	0	7480	0	0	7647	0	0	7779
Partille	3	0.0821287779237845	36528	0	0	36147	0	0	35837	0	0	35518	1	0.0285030213202599	35084	1	0.0290849863300564	34382	1	0.0295840482811668	33802	3	0.0890234131576605	33699	3	0.0892485273992979	33614	0	0	33543	0	0	33281	1	0.0301277416244878	33192	0	0	33088	2	0.0603463882686621	33142	0	0	33124	0	0	33000	1	0.030572625271332	32709
Perstorp	0	0	7174	0	0	7139	0	0	7096	1	0.139684313451599	7159	0	0	7061	0	0	6983	0	0	6972	0	0	6930	1	0.144969556393157	6898	1	0.145222189950624	6886	0	0	6893	0	0	6805	0	0	6789	1	0.149320591309542	6697	0	0	6745	0	0	6808	0	0	6921
Piteå	0	0	41508	0	0	41278	0	0	41078	1	0.024424796052953	40942	0	0	40892	0	0	40860	0	0	40902	0	0	40961	0	0	40943	3	0.0733980867565386	40873	0	0	40830	0	0	40662	0	0	40531	0	0	40451	2	0.0495503307484578	40363	1	0.0247500247500248	40404	0	0	40458
Ragunda	0	0	5440	0	0	5458	0	0	5466	0	0	5501	0	0	5590	0	0	5609	0	0	5681	0	0	5747	0	0	5806	0	0	5796	1	0.169664065151001	5894	0	0	5948	0	0	6079	0	0	6148	0	0	6313	0	0	6489	0	0	6540
Robertsfors	0	0	6724	0	0	6738	0	0	6717	0	0	6762	0	0	6831	0	0	6880	0	0	6900	0	0	6909	1	0.142938822184105	6996	0	0	7066	0	0	7106	0	0	7082	1	0.139508928571429	7168	0	0	7274	0	0	7307	0	0	7355	0	0	7439
Ronneby	1	0.0354346054356685	28221	0	0	27871	0	0	27788	0	0	27910	0	0	28254	2	0.0703828828828829	28416	1	0.0351012671557443	28489	0	0	28491	0	0	28443	0	0	28358	0	0	28283	0	0	28287	0	0	28472	0	0	28574	0	0	28634	1	0.0347487664187921	28778	0	0	28909
Rättvik	0	0	10748	0	0	10766	0	0	10799	0	0	10859	0	0	10811	0	0	10797	0	0	10850	0	0	10883	0	0	10884	0	0	10886	0	0	10864	0	0	10827	0	0	10898	0	0	10856	0	0	10847	0	0	10897	0	0	11044
Sala	0	0	21925	0	0	21769	0	0	21596	0	0	21568	0	0	21535	0	0	21499	1	0.0468055230517201	21365	1	0.0467027834858958	21412	0	0	21360	0	0	21446	1	0.0463951006773685	21554	1	0.0459939288013982	21742	0	0	21663	0	0	21535	0	0	21548	1	0.0464468183929401	21530	0	0	21748
Salem	0	0	16140	1	0.0624960939941254	16001	0	0	15881	0	0	15694	0	0	15391	0	0	15313	0	0	15177	0	0	15065	1	0.0679578661230037	14715	0	0	14334	0	0	14127	0	0	14057	0	0	13875	0	0	13839	0	0	13766	0	0	13474	0	0	13176
Sandviken	1	0.0264319509422991	37833	3	0.0805369127516779	37250	0	0	37089	0	0	36995	0	0	36916	1	0.0270431067120991	36978	2	0.0542314054068711	36879	0	0	36804	1	0.0272123652987918	36748	2	0.0545107658762606	36690	1	0.0271480928464775	36835	0	0	36817	0	0	36765	1	0.0271702214373047	36805	0	0	37064	1	0.0266588467382901	37511	1	0.0263817438332674	37905
Sigtuna	1	0.0226834524214585	44085	1	0.0230563497187125	43372	2	0.0473126419379258	42272	1	0.0241960850734351	41329	3	0.0750187546886722	39990	2	0.050995690864122	39219	2	0.0521213384759721	38372	1	0.0264599264414045	37793	2	0.0540891389009087	36976	0	0	36711	2	0.0550630471890314	36322	3	0.0832685688908627	36028	0	0	35771	0	0	35518	0	0	35001	0	0	34766	0	0	34295
Simrishamn	0	0	18905	0	0	18951	0	0	18997	0	0	19147	1	0.0518215266621755	19297	0	0	19328	2	0.103327133705311	19356	0	0	19306	0	0	19418	1	0.0514800514800515	19425	0	0	19470	0	0	19499	1	0.0515304544986087	19406	0	0	19381	0	0	19303	0	0	19511	0	0	19697
Sjöbo	0	0	18415	0	0	18401	0	0	18290	0	0	18143	0	0	18112	0	0	18153	1	0.0552699939203007	18093	0	0	18015	3	0.169290672083968	17721	0	0	17501	0	0	17404	1	0.0581429152857724	17199	0	0	17027	0	0	16781	1	0.0600672753483902	16648	0	0	16542	0	0	16606
Skara	0	0	18747	0	0	18580	0	0	18281	0	0	18220	0	0	18314	0	0	18455	1	0.0540015120423372	18518	0	0	18544	0	0	18595	0	0	18578	0	0	18507	0	0	18360	0	0	18311	0	0	18324	0	0	18305	0	0	18341	0	0	18492
Skellefteå	0	0	72024	0	0	71988	1	0.013932621840778	71774	2	0.0279407655769768	71580	1	0.013958487458299	71641	0	0	71770	1	0.0139155603796165	71862	1	0.0138715494520738	72090	1	0.0138954506294639	71966	1	0.0139062717285496	71910	1	0.013930292814755	71786	0	0	71772	0	0	71813	1	0.0138821406260845	72035	2	0.0275953419062862	72476	0	0	73000	0	0	73499
Skinnskatteberg	0	0	4434	0	0	4411	0	0	4392	0	0	4412	1	0.224971878515186	4445	0	0	4567	0	0	4622	0	0	4686	0	0	4752	0	0	4761	0	0	4829	0	0	4857	0	0	4785	0	0	4837	0	0	4855	0	0	4859	0	0	4953
Skurup	0	0	15167	0	0	15025	0	0	14955	0	0	14946	0	0	14981	0	0	14867	0	0	14784	1	0.0676223965377333	14788	0	0	14703	0	0	14415	0	0	14243	0	0	14099	0	0	13949	0	0	13873	0	0	13714	0	0	13638	0	0	13560
Skövde	0	0	53134	0	0	52859	0	0	52212	0	0	51761	0	0	51402	0	0	50984	0	0	50610	1	0.019921509253541	50197	0	0	50153	0	0	49980	1	0.0200577663671374	49856	1	0.0201041394423112	49741	0	0	49405	1	0.0203736527922091	49083	2	0.0405572567071563	49313	1	0.0203342958233356	49178	1	0.0202277646297308	49437
Smedjebacken	0	0	10712	0	0	10691	0	0	10650	0	0	10662	0	0	10715	0	0	10758	0	0	10734	0	0	10715	1	0.0933271115258983	10715	0	0	10812	0	0	10923	0	0	11012	0	0	11157	1	0.0880514220304658	11357	0	0	11598	0	0	11873	0	0	12135
Sollefteå	0	0	19776	2	0.101921214900882	19623	1	0.0506688285366842	19736	0	0	19964	0	0	20255	0	0	20442	0	0	20538	0	0	20679	1	0.0479639311237949	20849	0	0	20976	0	0	21207	0	0	21317	1	0.0467639356528245	21384	1	0.0462449130595634	21624	0	0	21978	0	0	22400	0	0	22854
Sollentuna	0	0	69325	2	0.0293491818915548	68145	0	0	66859	1	0.0151765795025117	65891	0	0	64630	1	0.0157860672170742	63347	1	0.0161038375444869	62097	1	0.0162900939938423	61387	2	0.0330425588157547	60528	0	0	59355	1	0.0169787934869348	58897	3	0.0509476258406358	58884	2	0.0341792702725797	58515	1	0.0171626677650774	58266	2	0.0344542447629548	58048	0	0	57610	0	0	57067
Solna	0	0	74041	2	0.0274951883420401	72740	3	0.0420798675886833	71293	0	0	69946	1	0.0146748062925569	68144	1	0.0149456724805333	66909	1	0.015316515798986	65289	0	0	63318	0	0	61717	0	0	60575	1	0.0169210463975092	59098	0	0	57994	0	0	57585	2	0.0351166751531965	56953	0	0	56605	0	0	55988	0	0	55806
Sorsele	0	0	2565	0	0	2595	0	0	2673	0	0	2729	0	0	2736	0	0	2743	0	0	2733	0	0	2811	0	0	2867	0	0	2905	0	0	2957	0	0	2981	0	0	3046	0	0	3132	0	0	3195	0	0	3244	0	0	3281
Sotenäs	0	0	8931	0	0	8928	0	0	9004	0	0	9007	0	0	9052	0	0	9112	0	0	9170	0	0	9280	0	0	9283	0	0	9311	0	0	9336	0	0	9359	0	0	9467	0	0	9584	0	0	9621	0	0	9614	0	0	9625
Staffanstorp	0	0	22994	1	0.0441072688779111	22672	0	0	22534	0	0	22296	0	0	22259	1	0.0455601621941774	21949	0	0	21667	0	0	21208	0	0	20840	0	0	20602	0	0	20394	2	0.0988239944658563	20238	0	0	20110	0	0	19967	0	0	19815	0	0	19527	0	0	19291
Stenungsund	0	0	25275	0	0	24932	0	0	24868	0	0	24601	0	0	24292	0	0	23983	0	0	23657	0	0	23389	0	0	23190	0	0	22947	0	0	22742	0	0	22291	0	0	21755	0	0	21175	0	0	20679	0	0	20277	0	0	20001
Stockholm	9	0.00986854008107554	911989	12	0.0133674947087	897700	12	0.0136172530596265	881235	7	0.00809881479630324	864324	5	0.00590267898988635	847073	8	0.00964532918905689	829417	11	0.013578235323162	810120	15	0.0188640568034478	795163	26	0.0332104970717283	782885	9	0.011672576448891	771038	10	0.0130711436204976	765044	8	0.0105025330796972	761721	5	0.00659501838691126	758148	6	0.00794756724966488	754948	10	0.0133271495359487	750348	12	0.0161354734349599	743703	11	0.0149433578811949	736113
Storfors	1	0.243546030199708	4106	0	0	4131	0	0	4150	0	0	4218	0	0	4273	0	0	4363	0	0	4383	0	0	4495	0	0	4526	0	0	4542	0	0	4569	0	0	4559	0	0	4605	0	0	4643	0	0	4725	0	0	4807	1	0.205254515599343	4872
Storuman	0	0	5955	0	0	5954	0	0	6006	0	0	6026	0	0	6120	0	0	6227	0	0	6304	0	0	6383	0	0	6432	0	0	6507	0	0	6554	0	0	6595	0	0	6679	0	0	6788	0	0	6934	0	0	7071	0	0	7177
Strängnäs	0	0	33878	2	0.0598999670550181	33389	2	0.0604741170778907	33072	0	0	32687	1	0.0308461087633795	32419	3	0.0936797401948539	32024	0	0	31715	0	0	31435	1	0.032100667693888	31152	0	0	30655	1	0.0327632527357316	30522	0	0	30212	1	0.0333166749958354	30015	3	0.10078613182826	29766	1	0.0337723741979061	29610	1	0.0341635065423115	29271	1	0.0342923768046363	29161
Strömstad	0	0	12694	0	0	12480	1	0.0813338755591704	12295	1	0.0832639467110741	12010	1	0.0846883468834688	11808	1	0.0855431993156544	11690	0	0	11607	2	0.173040318394186	11558	0	0	11569	0	0	11507	2	0.175855095401389	11373	0	0	11233	0	0	11218	0	0	11221	0	0	11102	1	0.0906947215672048	11026	0	0	10917
Strömsund	0	0	11873	0	0	11984	0	0	12138	0	0	12171	0	0	12185	0	0	12286	1	0.0797957229492499	12532	0	0	12679	0	0	12782	0	0	12931	0	0	13112	0	0	13267	0	0	13371	0	0	13643	0	0	13938	0	0	14244	0	0	14575
Sundbyberg	0	0	44090	2	0.0469197203584667	42626	1	0.0245140097565759	40793	0	0	39539	0	0	38633	0	0	37722	1	0.0277169544610438	36079	0	0	35078	0	0	34529	0	0	34016	0	0	33816	0	0	33738	0	0	33797	0	0	33967	0	0	33868	1	0.0299517776380028	33387	0	0	32868
Sundsvall	1	0.0102734800386283	97338	1	0.0103116170677886	96978	0	0	96687	2	0.02080883959506	96113	1	0.0104458279363222	95732	2	0.0209351742329876	95533	1	0.0105313043020378	94955	2	0.021147237642083	94575	0	0	94516	2	0.0212666411466973	94044	0	0	93707	1	0.0107173095266164	93307	0	0	93252	1	0.010738255033557	93125	0	0	93126	1	0.010696788823995	93486	2	0.0212940387338565	93923
Sunne	0	0	13099	0	0	13011	0	0	13102	0	0	13142	0	0	13255	0	0	13345	0	0	13473	0	0	13566	1	0.0735781031565006	13591	0	0	13586	0	0	13604	0	0	13586	0	0	13573	0	0	13551	0	0	13619	0	0	13613	0	0	13665
Surahammar	0	0	9918	0	0	9834	0	0	9890	0	0	9871	0	0	9949	0	0	9980	0	0	10062	0	0	10122	0	0	10109	0	0	10196	0	0	10249	1	0.0980392156862745	10200	0	0	10207	0	0	10246	0	0	10340	0	0	10498	1	0.0936417267534413	10679
Svalöv	0	0	13460	0	0	13332	0	0	13275	1	0.0754716981132076	13250	1	0.0755172934602024	13242	0	0	13290	0	0	13184	0	0	13143	0	0	13055	0	0	13012	0	0	12973	0	0	12833	0	0	12705	1	0.0796622321357444	12553	0	0	12562	0	0	12617	0	0	12707
Svedala	1	0.0493875938364283	20248	2	0.0996661185030149	20067	1	0.0500726052776526	19971	0	0	19805	0	0	19822	3	0.152866242038217	19625	0	0	19390	1	0.0522220481487284	19149	1	0.0526648409521803	18988	0	0	18716	1	0.053934523488485	18541	0	0	18269	0	0	18151	0	0	17938	1	0.0558503211393465	17905	0	0	17935	0	0	17971
Svenljunga	0	0	10365	0	0	10299	0	0	10239	0	0	10282	2	0.194401244167963	10288	0	0	10291	0	0	10313	0	0	10431	0	0	10405	0	0	10430	0	0	10468	0	0	10445	0	0	10529	0	0	10536	0	0	10609	0	0	10636	0	0	10818
Säffle	0	0	15334	0	0	15276	0	0	15308	0	0	15394	0	0	15547	0	0	15602	0	0	15784	0	0	15868	1	0.062605647029362	15973	1	0.0621890547263682	16080	0	0	16077	0	0	16244	0	0	16289	0	0	16428	0	0	16639	0	0	16796	0	0	16992
Säter	0	0	10886	0	0	10873	0	0	10851	0	0	10861	0	0	10840	0	0	10900	1	0.0912658574427307	10957	0	0	11000	1	0.0909835319807115	10991	0	0	10989	0	0	10980	0	0	11041	0	0	11043	0	0	11157	0	0	11259	0	0	11316	0	0	11352
Sävsjö	1	0.0900900900900901	11100	1	0.091166013310238	10969	1	0.0922168941350055	10844	0	0	10871	1	0.0923361034164358	10830	0	0	10871	0	0	10883	0	0	10937	0	0	10985	1	0.091000091000091	10989	0	0	10973	1	0.0911743253099927	10968	0	0	10975	0	0	10986	0	0	11049	0	0	11192	0	0	11461
Söderhamn	0	0	25456	0	0	25442	0	0	25223	1	0.0394726454566985	25334	0	0	25647	2	0.0776427656353119	25759	0	0	25987	0	0	26120	0	0	26257	0	0	26506	0	0	26731	0	0	26956	1	0.036697247706422	27250	0	0	27464	0	0	27675	0	0	27842	0	0	28209
Söderköping	0	0	14268	0	0	14195	0	0	14143	0	0	14043	0	0	14024	0	0	14042	0	0	13959	1	0.0713266761768902	14020	1	0.071169311792755	14051	0	0	14025	0	0	14095	0	0	14082	0	0	14009	1	0.0717772035601493	13932	0	0	13936	0	0	13968	0	0	13879
Södertälje	1	0.0108418713069876	92235	1	0.0109803232607168	91072	0	0	89473	3	0.0342133774305753	87685	0	0	86246	1	0.0117274539697432	85270	4	0.0471959694642078	84753	1	0.0119557160278329	83642	2	0.024452568130968	81791	3	0.0372425607984805	80553	3	0.0373111124930042	80405	2	0.0249846968731652	80049	0	0	79613	5	0.0634566083711958	78794	7	0.0898795613877404	77882	10	0.130507412821048	76624	1	0.0131863494910069	75836
Sölvesborg	0	0	16959	0	0	16800	0	0	16808	0	0	16793	0	0	16810	0	0	16813	0	0	16840	1	0.0594494976517448	16821	0	0	16615	0	0	16558	0	0	16544	0	0	16425	0	0	16351	0	0	16396	0	0	16448	0	0	16454	0	0	16576
Tanum	0	0	12346	0	0	12303	0	0	12270	0	0	12320	0	0	12370	0	0	12253	0	0	12271	0	0	12246	0	0	12253	0	0	12252	0	0	12317	0	0	12288	0	0	12210	0	0	12116	0	0	12105	0	0	12069	0	0	12111
Tibro	0	0	10864	0	0	10754	0	0	10673	0	0	10625	0	0	10560	0	0	10611	0	0	10662	0	0	10611	0	0	10671	0	0	10581	0	0	10572	0	0	10640	0	0	10624	0	0	10627	0	0	10576	0	0	10641	0	0	10781
Tidaholm	0	0	12617	0	0	12565	0	0	12556	0	0	12569	0	0	12572	0	0	12632	0	0	12693	0	0	12651	0	0	12653	0	0	12535	1	0.0797257434425576	12543	0	0	12575	0	0	12585	0	0	12620	0	0	12694	0	0	12833	0	0	12874
Tierp	0	0	20245	0	0	20144	0	0	20156	0	0	20077	0	0	20125	0	0	20044	0	0	20153	1	0.049830576041459	20068	1	0.0501429072857644	19943	0	0	20056	1	0.0498479637106824	20061	0	0	20116	0	0	20088	0	0	19891	0	0	19888	0	0	19803	0	0	19883
Timrå	2	0.110957004160888	18025	0	0	18062	1	0.0555648163582819	17997	0	0	18026	0	0	17990	0	0	17902	0	0	17980	0	0	17884	0	0	17870	1	0.0563475516988787	17747	0	0	17859	0	0	17854	0	0	17784	0	0	17790	0	0	17988	0	0	18059	0	0	18254
Tingsryd	0	0	12198	0	0	12156	0	0	12141	0	0	12235	0	0	12231	0	0	12358	0	0	12502	0	0	12600	0	0	12712	0	0	12793	0	0	12892	0	0	13013	0	0	13175	0	0	13258	0	0	13371	0	0	13484	0	0	13692
Tjörn	0	0	15135	0	0	15050	0	0	14974	0	0	14959	0	0	14955	0	0	14961	0	0	14963	0	0	14944	0	0	14954	0	0	15022	0	0	15019	0	0	14891	0	0	14826	0	0	14797	0	0	14733	0	0	14734	0	0	14709
Tomelilla	1	0.0768816790958715	13007	0	0	12891	1	0.077417356971433	12917	1	0.0773395204949729	12930	0	0	12914	0	0	12936	0	0	12816	3	0.234888819292202	12772	0	0	12719	0	0	12682	0	0	12561	0	0	12515	0	0	12447	0	0	12432	0	0	12372	0	0	12434	0	0	12453
Torsby	0	0	11992	0	0	12013	0	0	12219	0	0	12312	0	0	12414	0	0	12508	0	0	12707	0	0	12878	0	0	12946	0	0	12960	1	0.0764175454684396	13086	0	0	13311	0	0	13404	0	0	13552	0	0	13725	0	0	13943	0	0	14142
Torsås	0	0	6925	0	0	6879	0	0	6858	0	0	6886	0	0	6962	0	0	7044	0	0	7076	0	0	7133	0	0	7154	0	0	7240	0	0	7263	0	0	7231	0	0	7293	0	0	7361	0	0	7468	0	0	7540	0	0	7611
Tranemo	0	0	11640	0	0	11531	0	0	11573	0	0	11606	1	0.0863036161215155	11587	0	0	11622	0	0	11721	0	0	11750	0	0	11742	0	0	11804	0	0	11894	0	0	11887	0	0	11988	0	0	12016	0	0	12037	0	0	12026	0	0	12124
Tranås	0	0	18416	0	0	18197	0	0	18145	0	0	18108	0	0	18119	0	0	18043	0	0	18066	0	0	17920	0	0	17765	0	0	17765	0	0	17751	0	0	17709	0	0	17718	1	0.0566764905917026	17644	0	0	17686	0	0	17798	0	0	17866
Trelleborg	0	0	42973	0	0	42837	0	0	42605	0	0	42542	0	0	42219	2	0.0477429519467189	41891	0	0	41558	0	0	41019	0	0	40320	2	0.0502134069796636	39830	1	0.0253312055120703	39477	4	0.102275632830478	39110	0	0	38759	1	0.0259228535877229	38576	0	0	38429	0	0	38226	0	0	38146
Trollhättan	0	0	56929	2	0.0353525533381649	56573	1	0.0179375414805647	55749	0	0	55499	2	0.036200405444541	55248	7	0.127567291746396	54873	3	0.0550590049002514	54487	1	0.0184162062615101	54300	1	0.0185770016719301	53830	1	0.018761022100484	53302	1	0.0188132595853558	53154	0	0	52920	3	0.0566711373897274	52937	1	0.0189311474168449	52823	0	0	52891	0	0	52879	0	0	52795
Trosa	0	0	11864	0	0	11680	0	0	11529	0	0	11493	0	0	11462	0	0	11446	0	0	11362	0	0	11038	0	0	10951	0	0	10831	0	0	10627	0	0	10565	0	0	10514	1	0.0965530559042194	10357	0	0	10197	0	0	10107	0	0	10068
Tyresö	0	0	45390	0	0	44281	0	0	43764	0	0	43328	0	0	42947	0	0	42602	0	0	42332	0	0	42047	0	0	41476	1	0.0243107891282151	41134	0	0	40605	0	0	40097	0	0	39720	0	0	39434	1	0.0255944306518901	39071	0	0	38580	2	0.0525679440677075	38046
Täby	0	0	67334	1	0.0150847764436131	66292	1	0.0152989413132611	65364	0	0	64558	0	0	63789	0	0	63014	0	0	62266	0	0	61633	0	0	61006	0	0	60594	0	0	60422	0	0	60168	0	0	60198	1	0.0166032974148666	60229	0	0	60197	0	0	60300	2	0.0331818030991804	60274
Töreboda	0	0	9072	0	0	8992	0	0	9009	0	0	9063	0	0	9113	0	0	9255	0	0	9256	0	0	9376	0	0	9368	0	0	9470	0	0	9445	0	0	9412	0	0	9426	0	0	9490	0	0	9642	0	0	9626	0	0	9828
Uddevalla	0	0	53517	2	0.0377180575200377	53025	0	0	52530	1	0.0191732494823223	52156	1	0.0192797100331611	51868	0	0	51518	0	0	51186	3	0.0589147895760099	50921	0	0	50507	0	0	50314	0	0	50068	1	0.0200517334723587	49871	0	0	49683	0	0	49255	1	0.0204202487186294	48971	0	0	48816	1	0.0204210827258061	48969
Ulricehamn	0	0	23244	1	0.0430830209814312	23211	0	0	23015	0	0	22996	1	0.0437866713372449	22838	1	0.043950248318903	22753	0	0	22706	1	0.0443616360571378	22542	1	0.044571224817258	22436	1	0.0446807559983915	22381	0	0	22342	0	0	22319	0	0	22299	0	0	22257	0	0	22284	0	0	22286	0	0	22344
Umeå	2	0.016720590571259	119613	0	0	118349	0	0	117294	0	0	116465	1	0.00866003308132637	115473	4	0.0350646504492658	114075	4	0.0354836420410191	112728	4	0.0357874582852439	111771	2	0.0179799523531263	111235	2	0.0180573863738962	110758	4	0.0365664137489716	109390	8	0.0741310451550729	107917	0	0	106525	3	0.0285697960116565	105006	5	0.0478413962033068	104512	9	0.0865634317591613	103970	5	0.0483012452061014	103517
Upplands Väsby	1	0.0239142911804094	41816	1	0.0241260344037251	41449	0	0	40723	0	0	40194	1	0.0254524167069663	39289	0	0	38641	2	0.0522903158335076	38248	1	0.0262777558796479	38055	0	0	37848	1	0.0265787795024452	37624	1	0.0266545832555908	37517	0	0	37397	1	0.0267065484456789	37444	2	0.0532992218313613	37524	1	0.0266127315307643	37576	1	0.0269425584653519	37116	0	0	36789
Upplands-Bro	0	0	25287	0	0	24703	0	0	24353	0	0	23984	0	0	23676	0	0	23202	0	0	22682	0	0	22221	1	0.0462149921434513	21638	2	0.093777840296338	21327	1	0.0468427955780401	21348	0	0	21252	0	0	21162	0	0	21076	2	0.0957946163425615	20878	0	0	20728	0	0	20495
Uppsala	2	0.00964496870207656	207362	7	0.0341132266726446	205199	3	0.0148056755089451	202625	3	0.014999925000375	200001	7	0.0353916081441146	197787	10	0.0513476182407279	194751	8	0.041957748547213	190668	4	0.0213286694642771	187541	4	0.0215997883220744	185187	12	0.0654635913326205	183308	7	0.038445484303258	182076	1	0.00553498386552203	180669	2	0.0111313330327873	179673	1	0.0052325885615614	191110	3	0.0158253722918832	189569	5	0.0265282950795318	188478	3	0.0160169138610373	187302
Uppvidinge	0	0	9222	0	0	9288	0	0	9276	0	0	9216	0	0	9244	0	0	9320	0	0	9347	0	0	9484	0	0	9508	1	0.10564124234101	9466	0	0	9514	0	0	9553	0	0	9580	1	0.103241792277514	9686	0	0	9807	0	0	9912	0	0	9992
Vadstena	0	0	7393	0	0	7383	0	0	7338	0	0	7317	0	0	7391	0	0	7420	0	0	7475	0	0	7536	0	0	7541	0	0	7527	0	0	7562	0	0	7582	0	0	7629	0	0	7628	0	0	7668	0	0	7662	0	0	7703
Vaggeryd	0	0	13229	0	0	13209	1	0.076057195010648	13148	1	0.0759878419452888	13160	1	0.0769763682549457	12991	0	0	12959	0	0	12981	0	0	12939	0	0	12816	0	0	12665	0	0	12660	0	0	12656	1	0.0793461874156947	12603	0	0	12655	0	0	12738	0	0	12475	0	0	12524
Valdemarsvik	1	0.130599451482304	7657	0	0	7585	0	0	7597	0	0	7662	0	0	7760	0	0	7811	0	0	7852	0	0	7949	0	0	8038	0	0	8122	0	0	8159	1	0.12202562538133	8195	0	0	8230	0	0	8224	0	0	8337	0	0	8383	1	0.117123448114312	8538
Vallentuna	1	0.031280302793331	31969	0	0	31616	0	0	31215	1	0.0325573823864561	30715	0	0	30114	0	0	29361	0	0	28954	2	0.0704671975195546	28382	3	0.107650351657815	27868	1	0.0365003467532942	27397	0	0	26889	3	0.114042423781647	26306	3	0.115807759119861	25905	1	0.0389969972312132	25643	0	0	25228	0	0	24640	0	0	24246
Vansbro	0	0	6694	0	0	6730	0	0	6779	0	0	6818	1	0.14695077149155	6805	0	0	6876	0	0	6916	0	0	6959	0	0	6983	0	0	7061	0	0	7122	0	0	7164	0	0	7235	0	0	7219	0	0	7291	1	0.135574837310195	7376	1	0.133761369716426	7476
Vara	1	0.0641148938898506	15597	0	0	15609	0	0	15557	0	0	15694	1	0.0634437254155564	15762	0	0	15771	0	0	15868	0	0	16008	0	0	15961	1	0.0624687656171914	16008	0	0	16026	0	0	15995	1	0.0624648635142732	16009	0	0	16050	0	0	16044	0	0	16255	1	0.0612032560132199	16339
Varberg	0	0	60422	1	0.0166844634276562	59936	0	0	59186	0	0	58576	1	0.0172164451484058	58084	1	0.0174097738470377	57439	1	0.0176450867256013	56673	2	0.0356417293367074	56114	0	0	55459	0	0	54817	0	0	54338	0	0	53892	0	0	53346	0	0	53072	0	0	52648	0	0	52516	3	0.0572606504809895	52392
Vaxholm	0	0	11329	0	0	11188	0	0	11126	0	0	11141	0	0	10965	0	0	11001	0	0	10747	0	0	10600	0	0	10440	0	0	10123	0	0	9904	0	0	9725	1	0.103831377842384	9631	0	0	9470	0	0	9286	0	0	8888	0	0	8721
Vellinge	0	0	34110	0	0	33807	0	0	33615	0	0	33510	0	0	33303	0	0	33162	0	0	32843	0	0	32565	0	0	32270	0	0	31722	0	0	31596	0	0	31300	0	0	31087	0	0	30782	0	0	30516	0	0	30206	0	0	30023
Vetlanda	0	0	26647	1	0.0378515462356637	26419	0	0	26297	0	0	26302	0	0	26304	1	0.0379506641366224	26350	0	0	26343	0	0	26365	0	0	26380	0	0	26459	0	0	26531	0	0	26398	0	0	26428	0	0	26522	0	0	26624	0	0	26735	1	0.0369494531480934	27064
Vilhelmina	0	0	6848	0	0	6887	0	0	6941	0	0	7048	0	0	7135	0	0	7156	0	0	7220	0	0	7220	0	0	7280	0	0	7327	0	0	7422	0	0	7588	0	0	7655	0	0	7730	0	0	7918	0	0	8006	0	0	8125
