Cases1998	CasesPerThousand1998	Population1998	Cases1999	CasesPerThousand1999	Population1999	Cases2000	CasesPerThousand2000	Population2000	Cases2001	CasesPerThousand2001	Population2001	Cases2002	CasesPerThousand2002	Population2002	Cases2003	CasesPerThousand2003	Population2003	Cases2004	CasesPerThousand2004	Population2004	Cases2005	CasesPerThousand2005	Population2005	Cases2006	CasesPerThousand2006	Population2006	Cases2007	CasesPerThousand2007	Population2007	Cases2008	CasesPerThousand2008	Population2008	Cases2009	CasesPerThousand2009	Population2009	Cases2010	CasesPerThousand2010	Population2010	Cases2011	CasesPerThousand2011	Population2011	Cases2012	CasesPerThousand2012	Population2012	Cases2013	CasesPerThousand2013	Population2013	Cases2014	CasesPerThousand2014	Population2014
Ekerö	0	0	26698	0	0	26355	0	0	26160	0	0	25767	0	0	25410	0	0	25095	0	0	24779	0	0	24687	0	0	24301	0	0	24010	0	0	23594	0	0	23311	4	0.174398325776073	22936	0	0	22626	1	0.0449115242971346	22266	5	0.22786309984961	21943	2	0.0936022838957271	21367
Eksjö	0	0	16598	0	0	16464	0	0	16368	0	0	16304	0	0	16244	0	0	16353	0	0	16312	1	0.0608457560085184	16435	1	0.0605473480261565	16516	0	0	16575	0	0	16571	0	0	16656	0	0	16761	0	0	16812	0	0	16868	0	0	16910	0	0	17116
Emmaboda	0	0	9009	0	0	8964	0	0	8991	0	0	9039	0	0	9187	0	0	9223	0	0	9331	0	0	9383	0	0	9436	0	0	9543	0	0	9643	0	0	9659	0	0	9690	0	0	9750	0	0	9772	0	0	9811	0	0	9971
Enköping	2	0.0485873235672813	41163	0	0	40656	1	0.0247837616793477	40349	2	0.0499812570286143	40015	0	0	39759	4	0.101626016260163	39360	0	0	38978	1	0.0257944696657037	38768	1	0.0259834745102115	38486	0	0	38422	0	0	38211	0	0	38005	1	0.0265625415039711	37647	0	0	37181	0	0	36606	2	0.0552562508633789	36195	2	0.0553694526729603	36121
Eskilstuna	2	0.0198170882752197	100923	2	0.0200543472811319	99729	0	0	98765	5	0.0512316078527809	97596	2	0.0207660599516151	96311	7	0.0732393776745451	95577	3	0.0316505776230416	94785	5	0.0535658806766442	93343	8	0.0867208672086721	92250	7	0.0763900256452229	91635	4	0.0438750438750439	91168	5	0.0551304386177696	90694	8	0.0888010744930014	90089	2	0.0224378751332249	89135	3	0.0339335806714324	88408	3	0.0340375320520094	88138	1	0.0113601508628035	88027
Eslöv	4	0.124304670748003	32179	0	0	31920	0	0	31744	0	0	31728	0	0	31587	2	0.0639611116441204	31269	4	0.128522314686888	31123	0	0	30775	1	0.0328547491539902	30437	0	0	30087	0	0	29740	0	0	29400	0	0	28985	0	0	28703	0	0	28487	0	0	28212	0	0	28299
Essunga	0	0	5538	0	0	5494	0	0	5502	0	0	5493	0	0	5564	0	0	5601	0	0	5625	0	0	5638	0	0	5651	0	0	5717	0	0	5750	0	0	5736	0	0	5757	0	0	5818	0	0	5835	0	0	5847	0	0	5857
Fagersta	0	0	13133	0	0	12872	0	0	12634	0	0	12553	0	0	12443	1	0.0816393174953057	12249	2	0.163039047851961	12267	0	0	12183	0	0	12202	1	0.0814995925020375	12270	0	0	12231	0	0	12334	0	0	12325	0	0	12270	0	0	12381	0	0	12583	0	0	12773
Falkenberg	1	0.0235665637593383	42433	1	0.0238595151746516	41912	2	0.0482823552132873	41423	2	0.0484214603912454	41304	1	0.0243854857588763	41008	2	0.0490930067011954	40739	0	0	40451	1	0.0248979185340106	40164	0	0	39874	0	0	39605	0	0	39438	0	0	39145	0	0	38896	1	0.0258264462809917	38720	0	0	38817	0	0	38894	0	0	39061
Falköping	0	0	32185	0	0	31988	1	0.031556691596453	31689	1	0.031556691596453	31689	0	0	31513	0	0	31419	2	0.0637978882898976	31349	0	0	31311	1	0.0320102432778489	31240	1	0.0320666987333654	31185	0	0	31148	1	0.0322778477131145	30981	0	0	30896	0	0	30921	1	0.0322507820814655	31007	0	0	31331	0	0	31524
Falun	0	0	56896	0	0	56767	1	0.0177204423022399	56432	0	0	56124	2	0.035686246520591	56044	0	0	55685	1	0.0180841636978498	55297	0	0	55220	0	0	55267	0	0	55274	0	0	54994	0	0	55010	0	0	54841	0	0	54601	0	0	54426	0	0	54489	0	0	54576
Filipstad	0	0	10613	0	0	10563	0	0	10549	1	0.0951112801978315	10514	0	0	10562	0	0	10626	0	0	10682	0	0	10782	0	0	10952	0	0	11017	1	0.0902445627650934	11081	0	0	11121	1	0.0894614421184469	11178	0	0	11389	0	0	11598	0	0	11893	1	0.0826173165895572	12104
Finspång	1	0.0472813238770686	21150	0	0	20903	0	0	20791	1	0.0481625969272263	20763	1	0.0481997397214055	20747	0	0	20733	1	0.0485696245568022	20589	1	0.0483021784282471	20703	0	0	20812	0	0	20888	0	0	20993	0	0	21052	3	0.141456054319125	21208	0	0	21279	0	0	21477	0	0	21678	0	0	22043
Flen	0	0	16242	0	0	16156	0	0	16019	0	0	16063	1	0.0623908160718742	16028	3	0.18588512299399	16139	3	0.185954255253208	16133	0	0	16191	0	0	16222	0	0	16412	0	0	16534	1	0.0601359071501594	16629	1	0.0605326876513317	16520	0	0	16411	1	0.0603682463024449	16565	0	0	16726	1	0.0591505974210339	16906
Forshaga	0	0	11379	0	0	11292	0	0	11311	0	0	11229	0	0	11266	0	0	11401	0	0	11415	0	0	11444	0	0	11466	0	0	11515	0	0	11460	0	0	11452	1	0.0871535645807913	11474	0	0	11485	0	0	11589	0	0	11651	0	0	11775
Färgelanda	0	0	6502	0	0	6520	0	0	6549	0	0	6606	0	0	6654	0	0	6691	0	0	6744	0	0	6770	0	0	6779	0	0	6824	0	0	6886	0	0	6841	2	0.288225969159821	6939	0	0	6956	0	0	7020	2	0.282246683601468	7086	0	0	7177
Gagnef	0	0	10024	0	0	10023	0	0	10012	0	0	10069	0	0	10097	0	0	10071	0	0	10107	0	0	10111	0	0	10080	0	0	10131	0	0	10091	0	0	10059	0	0	10008	0	0	10050	0	0	10075	0	0	10168	0	0	10271
