"Municipality" "Cases" "Population" "Year"
"1442" "Östra Göinge" 0 14087 2002
"1443" "Överkalix" 0 4058 2002
"1444" "Övertorneå" 0 5391 2002
"1445" "Ale" 1 25993 2003
"1446" "Alingsås" 0 35530 2003
"1447" "Alvesta" 0 18879 2003
"1448" "Aneby" 0 6666 2003
"1449" "Arboga" 2 13514 2003
"1450" "Arjeplog" 0 3259 2003
"1451" "Arvidsjaur" 0 6948 2003
"1452" "Arvika" 0 26302 2003
"1453" "Askersund" 0 11539 2003
"1454" "Avesta" 0 22249 2003
"1455" "Bengtsfors" 0 10436 2003
"1456" "Berg" 0 7865 2003
"1457" "Bjurholm" 0 2575 2003
"1458" "Bjuv" 1 13810 2003
"1459" "Boden" 1 28214 2003
"1460" "Bollebygd" 0 7891 2003
"1461" "Bollnäs" 0 26213 2003
"1462" "Borgholm" 0 11147 2003
"1463" "Borlänge" 1 46919 2003
"1464" "Borås" 0 98505 2003
"1465" "Botkyrka" 4 75432 2003
"1466" "Boxholm" 0 5308 2003
"1467" "Bromölla" 0 11994 2003
"1468" "Bräcke" 0 7359 2003
"1469" "Burlöv" 0 15257 2003
"1470" "Båstad" 0 14088 2003
"1471" "Dals-Ed" 0 5014 2003
"1472" "Danderyd" 1 29884 2003
"1473" "Degerfors" 0 10181 2003
"1474" "Dorotea" 0 3226 2003
"1475" "Eda" 0 8662 2003
"1476" "Ekerö" 0 23311 2003
"1477" "Eksjö" 0 16656 2003
"1478" "Emmaboda" 0 9659 2003
"1479" "Enköping" 0 38005 2003
"1480" "Eskilstuna" 5 90694 2003
"1481" "Eslöv" 0 29400 2003
"1482" "Essunga" 0 5736 2003
"1483" "Fagersta" 0 12334 2003
"1484" "Falkenberg" 0 39145 2003
"1485" "Falköping" 1 30981 2003
"1486" "Falun" 0 55010 2003
"1487" "Filipstad" 0 11121 2003
"1488" "Finspång" 0 21052 2003
"1489" "Flen" 1 16629 2003
"1490" "Forshaga" 0 11452 2003
"1491" "Färgelanda" 0 6841 2003
"1492" "Gagnef" 0 10059 2003
"1493" "Gislaved" 0 29956 2003
"1494" "Gnesta" 0 10002 2003
"1495" "Gnosjö" 0 9926 2003
"1496" "Gotland" 0 57535 2003
"1497" "Grums" 0 9379 2003
"1498" "Grästorp" 0 5835 2003
"1499" "Gullspång" 0 5726 2003
"1500" "Gällivare" 2 19251 2003
"1501" "Gävle" 0 91701 2003
"1502" "Göteborg" 16 478055 2003
"1503" "Götene" 1 12992 2003
"1504" "Habo" 0 9568 2003
"1505" "Hagfors" 2 13648 2003
"1506" "Hallsberg" 0 15589 2003
"1507" "Hallstahammar" 1 15039 2003
"1508" "Halmstad" 3 87372 2003
"1509" "Hammarö" 0 14307 2003
"1510" "Haninge" 2 71377 2003
"1511" "Haparanda" 0 10346 2003
"1512" "Heby" 1 13711 2003
"1513" "Hedemora" 0 15555 2003
"1514" "Helsingborg" 1 120154 2003
"1515" "Herrljunga" 1 9440 2003
"1516" "Hjo" 0 8844 2003
"1517" "Hofors" 0 10338 2003
"1518" "Huddinge" 3 87121 2003
"1519" "Hudiksvall" 0 37057 2003
"1520" "Hultsfred" 0 14739 2003
"1521" "Hylte" 0 10377 2003
"1522" "Håbo" 0 18115 2003
"1523" "Hällefors" 0 7712 2003
"1524" "Härjedalen" 0 11065 2003
"1525" "Härnösand" 0 25272 2003
"1526" "Härryda" 0 31208 2003
"1527" "Hässleholm" 0 48787 2003
"1528" "Höganäs" 0 23003 2003
"1529" "Högsby" 0 6348 2003
"1530" "Hörby" 0 14051 2003
"1531" "Höör" 0 14278 2003
"1532" "Jokkmokk" 0 5633 2003
"1533" "Järfälla" 7 61473 2003
"1534" "Jönköping" 3 119340 2003
"1535" "Kalix" 0 17702 2003
"1536" "Kalmar" 1 60415 2003
"1537" "Karlsborg" 0 6923 2003
"1538" "Karlshamn" 0 30779 2003
"1539" "Karlskoga" 0 30532 2003
"1540" "Karlskrona" 1 60857 2003
"1541" "Karlstad" 1 81343 2003
"1542" "Katrineholm" 0 32418 2003
"1543" "Kil" 1 11891 2003
"1544" "Kinda" 0 9981 2003
"1545" "Kiruna" 0 23407 2003
"1546" "Klippan" 0 15963 2003
"1547" "Knivsta" 1 12821 2003
"1548" "Kramfors" 0 20508 2003
"1549" "Kristianstad" 0 75294 2003
"1550" "Kristinehamn" 1 23946 2003
"1551" "Krokom" 0 14088 2003
"1552" "Kumla" 0 19279 2003
"1553" "Kungsbacka" 0 67653 2003
"1554" "Kungsör" 0 8235 2003
"1555" "Kungälv" 1 38154 2003
"1556" "Kävlinge" 1 25539 2003
"1557" "Köping" 0 24585 2003
"1558" "Laholm" 0 22883 2003
"1559" "Landskrona" 1 38658 2003
"1560" "Laxå" 0 6366 2003
"1561" "Lekeberg" 0 7040 2003
"1562" "Leksand" 0 15419 2003
"1563" "Lerum" 0 35890 2003
"1564" "Lessebo" 0 8227 2003
"1565" "Lidingö" 1 41194 2003
"1566" "Lidköping" 0 37125 2003
"1567" "Lilla Edet" 1 12983 2003
"1568" "Lindesberg" 1 23442 2003
"1569" "Linköping" 3 136231 2003
"1570" "Ljungby" 0 26897 2003
"1571" "Ljusdal" 1 19771 2003
"1572" "Ljusnarsberg" 0 5415 2003
"1573" "Lomma" 0 18311 2003
"1574" "Ludvika" 0 26011 2003
"1575" "Luleå" 3 72237 2003
"1576" "Lund" 0 100995 2003
"1577" "Lycksele" 0 12820 2003
"1578" "Lysekil" 0 14798 2003
"1579" "Malmö" 17 267171 2003
"1580" "Malung-Sälen" 0 10538 2003
"1581" "Malå" 1 3498 2003
"1582" "Mariestad" 0 23847 2003
"1583" "Mark" 1 33218 2003
"1584" "Markaryd" 0 9594 2003
"1585" "Mellerud" 0 9792 2003
"1586" "Mjölby" 0 25191 2003
"1587" "Mora" 1 20093 2003
"1588" "Motala" 0 42015 2003
"1589" "Mullsjö" 1 7129 2003
"1590" "Munkedal" 0 10405 2003
"1591" "Munkfors" 0 4075 2003
"1592" "Mölndal" 0 57523 2003
"1593" "Mönsterås" 0 13256 2003
"1594" "Mörbylånga" 0 13481 2003
"1595" "Nacka" 1 77470 2003
"1596" "Nora" 1 10552 2003
"1597" "Norberg" 0 5930 2003
"1598" "Nordanstig" 0 9971 2003
"1599" "Nordmaling" 0 7616 2003
"1600" "Norrköping" 0 123971 2003
"1601" "Norrtälje" 1 54021 2003
"1602" "Norsjö" 0 4478 2003
"1603" "Nybro" 0 19968 2003
"1604" "Nykvarn" 0 8269 2003
"1605" "Nyköping" 1 49382 2003
"1606" "Nynäshamn" 1 24587 2003
"1607" "Nässjö" 0 29337 2003
"1608" "Ockelbo" 0 5991 2003
"1609" "Olofström" 0 13541 2003
"1610" "Orsa" 0 7053 2003
"1611" "Orust" 0 15160 2003
"1612" "Osby" 0 12707 2003
"1613" "Oskarshamn" 1 26253 2003
"1614" "Ovanåker" 0 12051 2003
"1615" "Oxelösund" 0 11299 2003
"1616" "Pajala" 0 7053 2003
"1617" "Partille" 1 33192 2003
"1618" "Perstorp" 0 6805 2003
"1619" "Piteå" 0 40662 2003
"1620" "Ragunda" 0 5948 2003
"1621" "Robertsfors" 0 7082 2003
"1622" "Ronneby" 0 28287 2003
"1623" "Rättvik" 0 10827 2003
"1624" "Sala" 1 21742 2003
"1625" "Salem" 0 14057 2003
"1626" "Sandviken" 0 36817 2003
"1627" "Sigtuna" 3 36028 2003
"1628" "Simrishamn" 0 19499 2003
"1629" "Sjöbo" 1 17199 2003
"1630" "Skara" 0 18360 2003
"1631" "Skellefteå" 0 71772 2003
"1632" "Skinnskatteberg" 0 4857 2003
"1633" "Skurup" 0 14099 2003
"1634" "Skövde" 1 49741 2003
"1635" "Smedjebacken" 0 11012 2003
"1636" "Sollefteå" 0 21317 2003
"1637" "Sollentuna" 3 58884 2003
"1638" "Solna" 0 57994 2003
"1639" "Sorsele" 0 2981 2003
"1640" "Sotenäs" 0 9359 2003
"1641" "Staffanstorp" 2 20238 2003
"1642" "Stenungsund" 0 22291 2003
"1643" "Stockholm" 8 761721 2003
"1644" "Storfors" 0 4559 2003
"1645" "Storuman" 0 6595 2003
"1646" "Strängnäs" 0 30212 2003
"1647" "Strömstad" 0 11233 2003
"1648" "Strömsund" 0 13267 2003
"1649" "Sundbyberg" 0 33738 2003
"1650" "Sundsvall" 1 93307 2003
"1651" "Sunne" 0 13586 2003
"1652" "Surahammar" 1 10200 2003
"1653" "Svalöv" 0 12833 2003
"1654" "Svedala" 0 18269 2003
"1655" "Svenljunga" 0 10445 2003
"1656" "Säffle" 0 16244 2003
"1657" "Säter" 0 11041 2003
"1658" "Sävsjö" 1 10968 2003
"1659" "Söderhamn" 0 26956 2003
"1660" "Söderköping" 0 14082 2003
"1661" "Södertälje" 2 80049 2003
"1662" "Sölvesborg" 0 16425 2003
"1663" "Tanum" 0 12288 2003
"1664" "Tibro" 0 10640 2003
"1665" "Tidaholm" 0 12575 2003
"1666" "Tierp" 0 20116 2003
"1667" "Timrå" 0 17854 2003
"1668" "Tingsryd" 0 13013 2003
"1669" "Tjörn" 0 14891 2003
"1670" "Tomelilla" 0 12515 2003
"1671" "Torsby" 0 13311 2003
"1672" "Torsås" 0 7231 2003
"1673" "Tranemo" 0 11887 2003
"1674" "Tranås" 0 17709 2003
"1675" "Trelleborg" 4 39110 2003
"1676" "Trollhättan" 0 52920 2003
"1677" "Trosa" 0 10565 2003
"1678" "Tyresö" 0 40097 2003
"1679" "Täby" 0 60168 2003
"1680" "Töreboda" 0 9412 2003
"1681" "Uddevalla" 1 49871 2003
"1682" "Ulricehamn" 0 22319 2003
"1683" "Umeå" 8 107917 2003
"1684" "Upplands-Bro" 0 21252 2003
"1685" "Upplands Väsby" 0 37397 2003
"1686" "Uppsala" 1 180669 2003
"1687" "Uppvidinge" 0 9553 2003
"1688" "Vadstena" 0 7582 2003
"1689" "Vaggeryd" 0 12656 2003
"1690" "Valdemarsvik" 1 8195 2003
"1691" "Vallentuna" 3 26306 2003
"1692" "Vansbro" 0 7164 2003
"1693" "Vara" 0 15995 2003
"1694" "Varberg" 0 53892 2003
"1695" "Vaxholm" 0 9725 2003
"1696" "Vellinge" 0 31300 2003
"1697" "Vetlanda" 0 26398 2003
"1698" "Vilhelmina" 0 7588 2003
"1699" "Vimmerby" 0 15621 2003
"1700" "Vindeln" 0 5885 2003
"1701" "Vingåker" 0 9179 2003
"1702" "Vårgårda" 0 10692 2003
"1703" "Vänersborg" 1 37101 2003
"1704" "Vännäs" 0 8513 2003
"1705" "Värmdö" 1 33134 2003
"1706" "Värnamo" 0 32350 2003
"1707" "Västervik" 0 36768 2003
"1708" "Västerås" 0 129987 2003
"1709" "Växjö" 3 75848 2003
"1710" "Ydre" 0 3943 2003
"1711" "Ystad" 1 26655 2003
"1712" "Åmål" 0 12854 2003
"1713" "Ånge" 0 10897 2003
"1714" "Åre" 0 9692 2003
"1715" "Årjäng" 0 9737 2003
"1716" "Åsele" 0 3410 2003
"1717" "Åstorp" 0 13326 2003
"1718" "Åtvidaberg" 0 11818 2003
"1719" "Älmhult" 1 15437 2003
"1720" "Älvdalen" 0 7570 2003
"1721" "Älvkarleby" 0 9028 2003
"1722" "Älvsbyn" 0 8838 2003
"1723" "Ängelholm" 1 37859 2003
"1724" "Öckerö" 1 12081 2003
"1725" "Ödeshög" 0 5528 2003
"1726" "Örebro" 2 126288 2003
"1727" "Örkelljunga" 0 9483 2003
"1728" "Örnsköldsvik" 0 54950 2003
"1729" "Östersund" 1 58361 2003
"1730" "Österåker" 0 36183 2003
"1731" "Östhammar" 0 21741 2003
"1732" "Östra Göinge" 0 14047 2003
"1733" "Överkalix" 0 3993 2003
"1734" "Övertorneå" 0 5331 2003
"1735" "Ale" 4 26288 2004
"1736" "Alingsås" 0 35761 2004
"1737" "Alvesta" 1 18865 2004
"1738" "Aneby" 0 6624 2004
"1739" "Arboga" 0 13406 2004
"1740" "Arjeplog" 0 3224 2004
"1741" "Arvidsjaur" 0 6894 2004
"1742" "Arvika" 0 26275 2004
"1743" "Askersund" 0 11477 2004
"1744" "Avesta" 1 22102 2004
"1745" "Bengtsfors" 0 10335 2004
"1746" "Berg" 0 7779 2004
"1747" "Bjurholm" 0 2588 2004
"1748" "Bjuv" 0 13892 2004
"1749" "Boden" 0 28277 2004
"1750" "Bollebygd" 0 7973 2004
"1751" "Bollnäs" 0 26249 2004
"1752" "Borgholm" 0 11133 2004
"1753" "Borlänge" 2 46988 2004
"1754" "Borås" 0 98886 2004
"1755" "Botkyrka" 1 75830 2004
"1756" "Boxholm" 0 5287 2004
"1757" "Bromölla" 0 12080 2004
"1758" "Bräcke" 0 7282 2004
"1759" "Burlöv" 0 15295 2004
"1760" "Båstad" 0 14022 2004
"1761" "Dals-Ed" 0 4941 2004
"1762" "Danderyd" 0 30100 2004
"1763" "Degerfors" 0 10106 2004
"1764" "Dorotea" 0 3156 2004
"1765" "Eda" 0 8646 2004
"1766" "Ekerö" 0 23594 2004
"1767" "Eksjö" 0 16571 2004
"1768" "Emmaboda" 0 9643 2004
"1769" "Enköping" 0 38211 2004
"1770" "Eskilstuna" 4 91168 2004
"1771" "Eslöv" 0 29740 2004
"1772" "Essunga" 0 5750 2004
"1773" "Fagersta" 0 12231 2004
"1774" "Falkenberg" 0 39438 2004
"1775" "Falköping" 0 31148 2004
"1776" "Falun" 0 54994 2004
"1777" "Filipstad" 1 11081 2004
"1778" "Finspång" 0 20993 2004
"1779" "Flen" 0 16534 2004
"1780" "Forshaga" 0 11460 2004
"1781" "Färgelanda" 0 6886 2004
"1782" "Gagnef" 0 10091 2004
"1783" "Gislaved" 0 29750 2004
"1784" "Gnesta" 1 9935 2004
"1785" "Gnosjö" 0 9810 2004
"1786" "Gotland" 0 57661 2004
"1787" "Grums" 0 9423 2004
"1788" "Grästorp" 0 5794 2004
"1789" "Gullspång" 0 5653 2004
"1790" "Gällivare" 3 19204 2004
"1791" "Gävle" 0 92081 2004
"1792" "Göteborg" 17 481410 2004
"1793" "Götene" 0 12950 2004
"1794" "Habo" 0 9758 2004
"1795" "Hagfors" 0 13496 2004
"1796" "Hallsberg" 0 15401 2004
"1797" "Hallstahammar" 0 15038 2004
"1798" "Halmstad" 1 87929 2004
"1799" "Hammarö" 0 14390 2004
"1800" "Haninge" 1 71355 2004
"1801" "Haparanda" 1 10208 2004
"1802" "Heby" 0 13771 2004
"1803" "Hedemora" 1 15506 2004
"1804" "Helsingborg" 8 121179 2004
"1805" "Herrljunga" 0 9417 2004
"1806" "Hjo" 0 8822 2004
"1807" "Hofors" 0 10237 2004
"1808" "Huddinge" 0 87681 2004
"1809" "Hudiksvall" 0 36970 2004
"1810" "Hultsfred" 0 14591 2004
"1811" "Hylte" 0 10432 2004
"1812" "Håbo" 0 18378 2004
"1813" "Hällefors" 0 7688 2004
"1814" "Härjedalen" 0 10951 2004
"1815" "Härnösand" 0 25273 2004
"1816" "Härryda" 0 31676 2004
"1817" "Hässleholm" 4 48945 2004
"1818" "Höganäs" 2 23135 2004
"1819" "Högsby" 0 6244 2004
"1820" "Hörby" 0 14216 2004
"1821" "Höör" 0 14520 2004
"1822" "Jokkmokk" 0 5599 2004
"1823" "Järfälla" 4 61564 2004
"1824" "Jönköping" 2 119927 2004
"1825" "Kalix" 1 17653 2004
"1826" "Kalmar" 1 60649 2004
"1827" "Karlsborg" 0 6905 2004
"1828" "Karlshamn" 0 30847 2004
"1829" "Karlskoga" 0 30343 2004
"1830" "Karlskrona" 1 61137 2004
"1831" "Karlstad" 0 81768 2004
"1832" "Katrineholm" 0 32258 2004
"1833" "Kil" 0 11844 2004
"1834" "Kinda" 0 9953 2004
"1835" "Kiruna" 0 23254 2004
"1836" "Klippan" 1 15998 2004
"1837" "Knivsta" 0 13059 2004
"1838" "Kramfors" 0 20383 2004
"1839" "Kristianstad" 2 75592 2004
"1840" "Kristinehamn" 0 23990 2004
"1841" "Krokom" 0 14126 2004
"1842" "Kumla" 0 19383 2004
"1843" "Kungsbacka" 1 68696 2004
"1844" "Kungsör" 0 8287 2004
"1845" "Kungälv" 0 38257 2004
"1846" "Kävlinge" 0 26024 2004
"1847" "Köping" 2 24677 2004
"1848" "Laholm" 0 22955 2004
"1849" "Landskrona" 0 39039 2004
"1850" "Laxå" 0 6267 2004
"1851" "Lekeberg" 0 7061 2004
"1852" "Leksand" 0 15504 2004
"1853" "Lerum" 1 36224 2004
"1854" "Lessebo" 1 8198 2004
"1855" "Lidingö" 0 41407 2004
"1856" "Lidköping" 0 37241 2004
"1857" "Lilla Edet" 2 12902 2004
"1858" "Lindesberg" 1 23300 2004
"1859" "Linköping" 2 136912 2004
"1860" "Ljungby" 0 27004 2004
"1861" "Ljusdal" 0 19592 2004
"1862" "Ljusnarsberg" 0 5389 2004
"1863" "Lomma" 0 18595 2004
"1864" "Ludvika" 0 25782 2004
"1865" "Luleå" 5 72565 2004
"1866" "Lund" 2 101423 2004
"1867" "Lycksele" 0 12785 2004
"1868" "Lysekil" 0 14767 2004
"1869" "Malmö" 13 269142 2004
"1870" "Malung-Sälen" 1 10557 2004
"1871" "Malå" 0 3464 2004
"1872" "Mariestad" 0 23897 2004
"1873" "Mark" 0 33356 2004
"1874" "Markaryd" 0 9636 2004
"1875" "Mellerud" 3 9728 2004
"1876" "Mjölby" 2 25326 2004
"1877" "Mora" 0 20083 2004
"1878" "Motala" 1 42062 2004
"1879" "Mullsjö" 0 7101 2004
"1880" "Munkedal" 0 10318 2004
"1881" "Munkfors" 0 4039 2004
"1882" "Mölndal" 1 57752 2004
"1883" "Mönsterås" 1 13226 2004
"1884" "Mörbylånga" 0 13403 2004
"1885" "Nacka" 0 78715 2004
"1886" "Nora" 0 10523 2004
"1887" "Norberg" 0 5949 2004
"1888" "Nordanstig" 0 9872 2004
"1889" "Nordmaling" 0 7511 2004
"1890" "Norrköping" 3 124410 2004
"1891" "Norrtälje" 2 54366 2004
"1892" "Norsjö" 0 4483 2004
"1893" "Nybro" 0 19882 2004
"1894" "Nykvarn" 0 8328 2004
"1895" "Nyköping" 2 49575 2004
"1896" "Nynäshamn" 0 24670 2004
"1897" "Nässjö" 0 29377 2004
"1898" "Ockelbo" 0 6047 2004
"1899" "Olofström" 0 13524 2004
"1900" "Orsa" 0 7031 2004
"1901" "Orust" 0 15160 2004
"1902" "Osby" 0 12625 2004
"1903" "Oskarshamn" 0 26300 2004
"1904" "Ovanåker" 0 11985 2004
"1905" "Oxelösund" 0 11273 2004
"1906" "Pajala" 0 6925 2004
"1907" "Partille" 0 33281 2004
"1908" "Perstorp" 0 6893 2004
"1909" "Piteå" 0 40830 2004
"1910" "Ragunda" 1 5894 2004
"1911" "Robertsfors" 0 7106 2004
"1912" "Ronneby" 0 28283 2004
"1913" "Rättvik" 0 10864 2004
"1914" "Sala" 1 21554 2004
"1915" "Salem" 0 14127 2004
"1916" "Sandviken" 1 36835 2004
"1917" "Sigtuna" 2 36322 2004
"1918" "Simrishamn" 0 19470 2004
"1919" "Sjöbo" 0 17404 2004
"1920" "Skara" 0 18507 2004
"1921" "Skellefteå" 1 71786 2004
"1922" "Skinnskatteberg" 0 4829 2004
"1923" "Skurup" 0 14243 2004
"1924" "Skövde" 1 49856 2004
"1925" "Smedjebacken" 0 10923 2004
"1926" "Sollefteå" 0 21207 2004
"1927" "Sollentuna" 1 58897 2004
"1928" "Solna" 1 59098 2004
"1929" "Sorsele" 0 2957 2004
"1930" "Sotenäs" 0 9336 2004
"1931" "Staffanstorp" 0 20394 2004
"1932" "Stenungsund" 0 22742 2004
"1933" "Stockholm" 10 765044 2004
"1934" "Storfors" 0 4569 2004
"1935" "Storuman" 0 6554 2004
"1936" "Strängnäs" 1 30522 2004
"1937" "Strömstad" 2 11373 2004
"1938" "Strömsund" 0 13112 2004
"1939" "Sundbyberg" 0 33816 2004
"1940" "Sundsvall" 0 93707 2004
"1941" "Sunne" 0 13604 2004
"1942" "Surahammar" 0 10249 2004
"1943" "Svalöv" 0 12973 2004
"1944" "Svedala" 1 18541 2004
"1945" "Svenljunga" 0 10468 2004
"1946" "Säffle" 0 16077 2004
"1947" "Säter" 0 10980 2004
"1948" "Sävsjö" 0 10973 2004
"1949" "Söderhamn" 0 26731 2004
"1950" "Söderköping" 0 14095 2004
"1951" "Södertälje" 3 80405 2004
"1952" "Sölvesborg" 0 16544 2004
"1953" "Tanum" 0 12317 2004
"1954" "Tibro" 0 10572 2004
"1955" "Tidaholm" 1 12543 2004
"1956" "Tierp" 1 20061 2004
"1957" "Timrå" 0 17859 2004
"1958" "Tingsryd" 0 12892 2004
"1959" "Tjörn" 0 15019 2004
"1960" "Tomelilla" 0 12561 2004
"1961" "Torsby" 1 13086 2004
"1962" "Torsås" 0 7263 2004
"1963" "Tranemo" 0 11894 2004
"1964" "Tranås" 0 17751 2004
"1965" "Trelleborg" 1 39477 2004
"1966" "Trollhättan" 1 53154 2004
"1967" "Trosa" 0 10627 2004
"1968" "Tyresö" 0 40605 2004
"1969" "Täby" 0 60422 2004
"1970" "Töreboda" 0 9445 2004
"1971" "Uddevalla" 0 50068 2004
"1972" "Ulricehamn" 0 22342 2004
"1973" "Umeå" 4 109390 2004
"1974" "Upplands-Bro" 1 21348 2004
"1975" "Upplands Väsby" 1 37517 2004
"1976" "Uppsala" 7 182076 2004
"1977" "Uppvidinge" 0 9514 2004
"1978" "Vadstena" 0 7562 2004
"1979" "Vaggeryd" 0 12660 2004
"1980" "Valdemarsvik" 0 8159 2004
"1981" "Vallentuna" 0 26889 2004
"1982" "Vansbro" 0 7122 2004
"1983" "Vara" 0 16026 2004
"1984" "Varberg" 0 54338 2004
"1985" "Vaxholm" 0 9904 2004
"1986" "Vellinge" 0 31596 2004
"1987" "Vetlanda" 0 26531 2004
"1988" "Vilhelmina" 0 7422 2004
"1989" "Vimmerby" 0 15596 2004
"1990" "Vindeln" 0 5773 2004
"1991" "Vingåker" 0 9178 2004
"1992" "Vårgårda" 0 10680 2004
"1993" "Vänersborg" 0 37105 2004
"1994" "Vännäs" 0 8525 2004
"1995" "Värmdö" 0 34029 2004
"1996" "Värnamo" 0 32464 2004
"1997" "Västervik" 1 36566 2004
"1998" "Västerås" 2 131014 2004
"1999" "Växjö" 3 76755 2004
"2000" "Ydre" 0 3894 2004
"2001" "Ystad" 0 26898 2004
"2002" "Åmål" 0 12823 2004
"2003" "Ånge" 0 10821 2004
"2004" "Åre" 0 9821 2004
"2005" "Årjäng" 0 9799 2004
"2006" "Åsele" 0 3375 2004
"2007" "Åstorp" 0 13389 2004
"2008" "Åtvidaberg" 0 11817 2004
"2009" "Älmhult" 0 15421 2004
"2010" "Älvdalen" 0 7515 2004
"2011" "Älvkarleby" 1 9041 2004
"2012" "Älvsbyn" 0 8775 2004
"2013" "Ängelholm" 0 38140 2004
"2014" "Öckerö" 0 12147 2004
"2015" "Ödeshög" 0 5520 2004
"2016" "Örebro" 1 126982 2004
"2017" "Örkelljunga" 0 9500 2004
"2018" "Örnsköldsvik" 0 54945 2004
"2019" "Östersund" 1 58459 2004
"2020" "Österåker" 0 36867 2004
"2021" "Östhammar" 0 21738 2004
"2022" "Östra Göinge" 0 13978 2004
"2023" "Överkalix" 0 3933 2004
"2024" "Övertorneå" 0 5244 2004
"2025" "Ale" 1 26405 2005
"2026" "Alingsås" 2 36010 2005
"2027" "Alvesta" 0 18684 2005
"2028" "Aneby" 0 6576 2005
"2029" "Arboga" 0 13380 2005
"2030" "Arjeplog" 0 3159 2005
"2031" "Arvidsjaur" 0 6814 2005
"2032" "Arvika" 0 26265 2005
"2033" "Askersund" 0 11461 2005
"2034" "Avesta" 0 21954 2005
"2035" "Bengtsfors" 0 10225 2005
"2036" "Berg" 0 7696 2005
"2037" "Bjurholm" 0 2553 2005
"2038" "Bjuv" 0 14007 2005
"2039" "Boden" 0 28176 2005
"2040" "Bollebygd" 0 8086 2005
"2041" "Bollnäs" 0 26237 2005
"2042" "Borgholm" 0 11067 2005
"2043" "Borlänge" 1 46987 2005
"2044" "Borås" 4 99325 2005
"2045" "Botkyrka" 2 76592 2005
"2046" "Boxholm" 0 5242 2005
"2047" "Bromölla" 0 12098 2005
"2048" "Bräcke" 0 7192 2005
"2049" "Burlöv" 2 15320 2005
"2050" "Båstad" 0 14044 2005
"2051" "Dals-Ed" 0 4891 2005
"2052" "Danderyd" 0 30226 2005
"2053" "Degerfors" 1 10093 2005
"2054" "Dorotea" 0 3082 2005
"2055" "Eda" 0 8601 2005
"2056" "Ekerö" 0 24010 2005
"2057" "Eksjö" 0 16575 2005
"2058" "Emmaboda" 0 9543 2005
"2059" "Enköping" 0 38422 2005
"2060" "Eskilstuna" 7 91635 2005
"2061" "Eslöv" 0 30087 2005
"2062" "Essunga" 0 5717 2005
"2063" "Fagersta" 1 12270 2005
"2064" "Falkenberg" 0 39605 2005
"2065" "Falköping" 1 31185 2005
"2066" "Falun" 0 55274 2005
"2067" "Filipstad" 0 11017 2005
"2068" "Finspång" 0 20888 2005
"2069" "Flen" 0 16412 2005
"2070" "Forshaga" 0 11515 2005
"2071" "Färgelanda" 0 6824 2005
"2072" "Gagnef" 0 10131 2005
"2073" "Gislaved" 1 29489 2005
"2074" "Gnesta" 0 9958 2005
"2075" "Gnosjö" 0 9753 2005
"2076" "Gotland" 2 57488 2005
"2077" "Grums" 0 9408 2005
"2078" "Grästorp" 0 5762 2005
"2079" "Gullspång" 0 5595 2005
"2080" "Gällivare" 0 19077 2005
"2081" "Gävle" 2 92205 2005
"2082" "Göteborg" 39 484942 2005
"2083" "Götene" 0 12879 2005
"2084" "Habo" 0 9842 2005
"2085" "Hagfors" 0 13337 2005
"2086" "Hallsberg" 1 15315 2005
"2087" "Hallstahammar" 0 14955 2005
"2088" "Halmstad" 1 88224 2005
"2089" "Hammarö" 0 14374 2005
"2090" "Haninge" 2 71837 2005
"2091" "Haparanda" 0 10184 2005
"2092" "Heby" 0 13634 2005
"2093" "Hedemora" 0 15494 2005
"2094" "Helsingborg" 6 122062 2005
"2095" "Herrljunga" 1 9305 2005
"2096" "Hjo" 0 8849 2005
"2097" "Hofors" 0 10197 2005
"2098" "Huddinge" 0 88750 2005
"2099" "Hudiksvall" 0 37004 2005
"2100" "Hultsfred" 0 14456 2005
"2101" "Hylte" 0 10368 2005
"2102" "Håbo" 0 18569 2005
"2103" "Hällefors" 0 7627 2005
"2104" "Härjedalen" 0 10889 2005
"2105" "Härnösand" 2 25227 2005
"2106" "Härryda" 0 32049 2005
"2107" "Hässleholm" 0 49148 2005
"2108" "Höganäs" 0 23482 2005
"2109" "Högsby" 0 6066 2005
"2110" "Hörby" 0 14274 2005
"2111" "Höör" 0 14604 2005
"2112" "Jokkmokk" 0 5534 2005
"2113" "Järfälla" 8 61743 2005
"2114" "Jönköping" 0 120965 2005
"2115" "Kalix" 0 17483 2005
"2116" "Kalmar" 3 60924 2005
"2117" "Karlsborg" 0 6898 2005
"2118" "Karlshamn" 0 31006 2005
"2119" "Karlskoga" 0 30185 2005
"2120" "Karlskrona" 0 61383 2005
"2121" "Karlstad" 1 82096 2005
"2122" "Katrineholm" 0 32185 2005
"2123" "Kil" 0 11813 2005
"2124" "Kinda" 0 9946 2005
"2125" "Kiruna" 0 23135 2005
"2126" "Klippan" 0 16048 2005
"2127" "Knivsta" 0 13324 2005
"2128" "Kramfors" 0 20107 2005
"2129" "Kristianstad" 2 75915 2005
"2130" "Kristinehamn" 1 23899 2005
"2131" "Krokom" 0 14130 2005
"2132" "Kumla" 1 19473 2005
"2133" "Kungsbacka" 1 69817 2005
"2134" "Kungsör" 0 8303 2005
"2135" "Kungälv" 2 38703 2005
"2136" "Kävlinge" 0 26704 2005
"2137" "Köping" 3 24646 2005
"2138" "Laholm" 0 23037 2005
"2139" "Landskrona" 0 39346 2005
