code,name,medianIncome,youthUnemployment2010,youthUnemployment2013,unemployment2010,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,satisfactionInfluence,satisfactionGeneral,satisfactionElderlyCare,foreignBorn,reportedCrimeVandalism,youngUnskilled,latitude,longitude,population,populationShare65plus,municipalityType,municipalityTypeBroad,refugees,rentalApartments,governing,fokusRanking,foretagsklimatRanking,cars,motorcycles,tractors,snowmobiles
2583,Haparanda,169131,22.6,17.4,17.2,12.1,-5.1,951,-2.8,22.7,1560,76.9,NA,NA,NA,42.2,10,17.1,65.841708,24.127664,9886,24.9,Municipalities in sparsely populated regions,Rural,14,156,Left-wing,271,275,536.01051992717,22.6583046732753,43.900465304471,77.7867691685211
1290,Kristianstad,193898,10.6,13,8.4,9.9,1.5,1120,3.9,37.5,170,82.5,NA,NA,NA,19.8,12.9,8.7,56.029394,14.156678,81009,20.9,Larger towns,Town,34,169.3,Conservative,46,142,486.476811218507,35.6133269142935,43.4889950499327,0.41970645236949
1080,Karlskrona,197159,11.4,12,8.2,8.9,0.700000000000001,740,1.8,44.2,355,80.8,NA,NA,NA,14,10.4,7.1,56.161224,15.5869,63912,20.9,Larger towns,Town,19.9,180,Conservative,55,155,494.555013143072,32.5916885717862,43.4503692577294,0.531981474527475
1782,Filipstad,171335,18.3,14.8,12.4,10.7,-1.7,1146,-1.1,19.7,5417,80.2,NA,NA,NA,13.4,13.1,12.8,59.713997,14.169844,10563,27,Manufacturing municipalities,Rural,44.2,138,Left-wing,231,237,535.548613083404,42.980213954369,42.6015336552116,29.253053109912
0483,Katrineholm,188125,13.4,14.6,10.7,10.6,-0.0999999999999996,1436,2.2,29.1,226,82,NA,NA,NA,18.8,20.6,11.7,58.995551,16.205476,32930,22.2,Municipalities in densely populated regions,Rural,40.4,222.9,Mixed,128,121,471.36349832979,35.2262374734285,42.2714849681142,3.46188885514728
1763,Forshaga,189310,13.2,14.6,9.7,9.1,-0.6,1036,-1.1,30.1,1130,81.6,NA,NA,NA,8.5,9.2,9.8,59.52976,13.486084,11292,22.4,Suburbs to larger towns,City,12.4,113,Left-wing,224,206,536.486007793128,46.8473255402055,41.888062345023,5.57917109458023
2262,Timrå,197551,14.6,13,11.4,10.2,-1.2,958,0.5,27.3,894,80.8,NA,NA,NA,10.4,9.6,11.9,62.485456,17.324865,18062,21.7,Suburbs to larger towns,City,29.7,105,Left-wing,188,57,537.371276713542,41.8558299191673,41.4129110840438,68.0434060458421
0687,Tranås,187530,10.3,10.8,7.6,7.6,0,945,0.7,27.6,233,84.2,NA,NA,NA,13.3,8.9,9.3,58.035518,14.975696,18197,24,Manufacturing municipalities,Rural,20.2,223.5,Conservative,154,29,472.99005330549,32.7526515359675,40.9408144199593,0.494587019838435
2104,Hofors,190365,16.4,17.4,10.1,10.1,0,725,-3.9,21.9,4871,77.8,32,40,47,12.8,14.3,13.5,60.54595,16.2841,9511,25.2,Manufacturing municipalities,Rural,40.5,151.2,Left-wing,274,281,556.72379350226,48.1547681631795,40.9000105141415,32.9092629586794
1272,Bromölla,190230,15.9,20.2,9.2,11.4,2.2,705,1.1,24,877,83.7,35,50,47,14.2,8,9.9,56.074362,14.477659,12336,22.9,Commuter municipalities,Rural,17.1,111,Left-wing,227,143,524.724383916991,46.5304798962387,40.8560311284047,0.486381322957198
2182,Söderhamn,180575,16.5,13.3,12.6,10.4,-2.2,1211,-2.1,25.7,1064,76.2,33,51,48,10.3,11.3,11.3,61.305576,17.06281,25442,25.9,Municipalities in sparsely populated regions,Rural,35,194.5,Mixed,244,198,548.188035531798,35.2173571260121,40.7593742630296,42.0564421036082
1484,Lysekil,192300,9.4,6.9,6.6,5.6,-1,814,-2,32.3,252,74.6,NA,NA,NA,12.9,13.8,9.9,58.275573,11.435558,14369,26.9,Tourism municipalities,Rural,21.4,202.6,Mixed,111,278,521.817802213098,39.7383255619737,40.7126452780291,0.974319716055397
